client,concept,domain,measurement,dimension,format,response,model_name,condition,response_ok_syntax,response_ok_semantics,response_error_type
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""apple"",
  ""colour"":
    ""value"" ,""reason"": ""Apples are commonly identified and categorized by their color."",
  ""location"":
    ""value"" ,""reason"": ""Location is always relevant as it helps contextualize the presence or use of any object.""
  ,
  ""weight"":
    ""value""",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
""concept"": ""mouse"",
""colour"": {
	""value"": false,
	""reason"": ""Colour is irrelevant to mouse, since it is irrelevant to the use and categorization of mouse.""
},
""location"": {
	""value"": true,
	""reason"": ""Location is always relevant as it helps contextualize the presence or use of any",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
    ""concept"": ""apple"",
    ""colour"":
      {
          ""value"": true,
          ""reason"": ""Apples are commonly identified and categorized by their color.""
      },
    ""location"":
      {
          ""value"": true,
          ""reason"": ""Location is always relevant as it helps contextualize the presence or use of any",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
""concept"": ""mouse"",
""colour"":
    ""value"" ,""reason"": ""Apples are commonly identified and categorized by their color."",
    ""value"": true,
    ""reason"": ""Colour is a property that is always relevant for identifying and describing a concept."",
    ""value"": true,
    ""reason"": ""Apples are commonly identified",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{""concept"": ""mouse"",
 ""colour"":
  {""value"": false,
   ""reason"": ""Colour is not relevant because it is not how we distinguish a mouse from other devices.""
  },
 ""shape"":
  {""value"": true,
   ""reason"": ""Shape is relevant because we can distinguish between different types of mice based on their shape.""
  },",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""colour"": {
    ""value"": false,
    ""reason"": ""The colour of the mouse is not relevant to the concept of the mouse""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is always relevant as it helps to identify the object.""
  },
 ",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""colour"":
    ""value""
    ,
    ""reason"": ""Apples are commonly identified and categorized by their color.""
  ,
  ""location"":
    ""value""
    ,
    ""reason"": ""Location is always relevant as it helps contextualize the presence or use of any object.""
 ",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{""concept"": ""mouse"", ""colour"": {""value"": false, ""reason"": ""The mouse's colour does not help contextualize or understand its use or presence.""}, ""shape"": {""value"": true, ""reason"": ""The mouse's shape helps contextualize or understand its use or presence.""}, ""size"": {""value"": true, ""reason"": ""Size is always relevant",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""colour"":
    ""value"" ,""reason""
  : true,
    ""Apples are commonly identified and categorized by their color.""
  : false,
    ""Apples are commonly identified and categorized by their colour.""
  : false,
  ""location"":
    ""value"" ,""reason""",llama_30b_standard,context,,,No syntax
llama_30b_standard,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
""concept"": ""mouse"",
""colour"":
    ""value"" ,""reason"": ""I don't know why this is relevant. I'm assuming it's because it's a useful property to describe this concept."",
""location"":
    ""value"" ,""reason"": ""I don't know why this is relevant. I'm assuming it's",llama_30b_standard,context,,,No syntax
