,concept,model_name,colour,shape,location,texture,material,pattern,disposition,function,size,weight,temperature,value,scenario,context,colour_sum,shape_sum,location_sum,texture_sum,material_sum,pattern_sum,disposition_sum,function_sum,size_sum,weight_sum,temperature_sum,value_sum,scenario_sum,context_sum
112,TV,qwen25_7b_standard,"[1, 1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, 1, 1, 1, -1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1]",0.5,0.16666666666666666,1.0,-1.0,0.6666666666666666,-1.0,-1.0,1.0,1.0,-0.16666666666666666,-1.0,0.0,-1.0,0.8333333333333334
192,TV,llava_7b_standard,"[-1, 1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, -1, -1, -1, 1, 1]","[1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, -1, 1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1]",-0.7777777777777778,-0.1111111111111111,0.7777777777777778,-1.0,-0.1111111111111111,-1.0,-1.0,1.0,1.0,-0.5555555555555556,-1.0,-1.0,-0.7777777777777778,0.7777777777777778
352,TV,llama31_8b_standard,[-1],[1],[-1],[-1],[1],[-1],[-1],[1],[1],[-1],[-1],[1],[-1],[1],-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
32,TV,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
432,TV,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
272,TV,qwen25_1b_standard,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1]","[1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1]","[1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]","[1, -1, -1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1]","[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",-0.2857142857142857,0.2857142857142857,0.14285714285714285,-0.42857142857142855,0.7142857142857143,-0.42857142857142855,-0.42857142857142855,0.7142857142857143,0.0,-0.2857142857142857,-0.8571428571428571,0.7142857142857143,-0.7142857142857143,0.42857142857142855
512,TV,MTurk,[],[],[],[],[],[],[],[],[],[],[],[],[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.7777777777777778,,
527,airplane,MTurk,[],[],[],[],[],[],[],[],[],[],[],[],[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.1111111111111111,1.0,,
208,airplane,llava_7b_standard,"[-1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, -1]","[-1, 1, -1, -1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[1, -1, -1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, 1, -1, 1, -1, 1, 1]",-1.0,0.7142857142857143,0.14285714285714285,-1.0,0.42857142857142855,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.14285714285714285
368,airplane,llama31_8b_standard,"[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1]","[-1, -1, -1, 1, -1]","[-1, 1, 1, -1, 1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[-1, 1, 1, 1, -1]","[-1, -1, 1, -1, 1]","[-1, -1, -1, 1, -1]","[1, -1, -1, -1, 1]","[1, -1, -1, 1, -1]","[1, 1, 1, 1, 1]",-1.0,1.0,-0.2,-0.6,0.2,-1.0,-1.0,1.0,0.2,-0.2,-0.6,-0.2,-0.2,1.0
