,concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name,Unnamed: 0
0,person,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,1.8288000000000002,182.88,1828.8000000000002,72.00000000000001,6.0,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,['smooth'],['red'],['plastic'],['round'],['plain'],['shop'],['tough'],MTurk,
1,person,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,,,,,,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,['smooth'],['seal brown'],[],['cylindrical'],"['plain', 'striped']",['home'],['friendly'],MTurk,
2,person,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,"['rough', 'smooth']","['black', 'color', 'grey', 'red', 'seal brown']","['flesh', 'hair', 'organic']","['cylindrical', 'humanoid']","['plain', 'striped']","['office', 'park', 'street']","['emotional', 'fragile', 'friendly', 'intelligent']",MTurk,
3,bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,,,,300.0,272.7272727272727,230.76923076923075,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['aluminium', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical']","['plain', 'striped']","['garage', 'park', 'schoolhouse', 'street']","['durable', 'lightweight', 'weather-resistant']",MTurk,
4,bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.75,175.0,1750.0,68.89763779527559,5.741469816272965,-9.444444444444445,15.0,263.7055555555555,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.65,65.0,650.0,25.590551181102363,2.1325459317585302,"['metallic', 'rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['aluminium', 'fiber', 'plastic', 'rubber', 'steel']","['circular', 'cylindrical']","['plain', 'striped']","['basement', 'garage', 'park', 'schoolhouse', 'sidewalk', 'street']","['durable', 'weather-resistant']",MTurk,
5,bicycle,1.0,100.0,1000.0,39.37007874015748,3.2808398950131235,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,,,,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.968503937007874,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['fiber', 'leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['logo', 'plain', 'striped']","['garage', 'outdoor', 'shed', 'store', 'street']","['durable', 'lightweight', 'weather-resistant']",MTurk,
6,car,1.6764000000000001,167.64000000000001,1676.4,66.00000000000001,5.5,4.2672,426.72,4267.2,168.00000000000003,14.0,90.55555555555556,195.0,363.7055555555555,23359.0,21235.454545454544,17968.461538461535,73.7087,73708.7,162.5,2600.0,1.8288000000000002,182.88,1828.8000000000002,72.00000000000001,6.0,"['metallic', 'rough', 'smooth']","['blue', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",[],[],['garage'],[],MTurk,
7,car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,,,,30000.0,27272.727272727272,23076.923076923074,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,"['metallic', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['aluminium', 'glass', 'plastic', 'rubber', 'steel']",[],"['plain', 'striped']","['driveway', 'garage', 'parking lot', 'road']","['durable', 'fast', 'weather-resistant']",MTurk,
8,car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,25.0,77.0,298.15,35000.0,31818.181818181816,26923.076923076922,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,"['glossy', 'smooth']","['black', 'blue', 'grey', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",['rectangle'],"['plain', 'striped']","['driveway', 'garage', 'highway', 'parking lot', 'street']","['durable', 'heat-resistant', 'water-resistant']",MTurk,
9,motorcycle,1.1,110.00000000000001,1100.0,43.30708661417323,3.608923884514436,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,90.0,194.0,363.15,10000.0,9090.90909090909,7692.3076923076915,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,"['glossy', 'matted', 'rough', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['plain', 'striped']","['garage', 'highway', 'parking lot', 'street']","['agile', 'durable', 'fast', 'weather-resistant']",MTurk,
10,motorcycle,1.1500000000000001,115.0,1150.0,45.275590551181104,3.772965879265092,2.1,210.0,2100.0,82.67716535433071,6.889763779527559,60.0,140.0,333.15,8000.0,7272.727272727272,6153.846153846153,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,"['metallic', 'rubbery', 'smooth']","['black', 'red', 'silver']","['aluminium', 'rubber', 'steel']",[],['logo'],"['garage', 'parking lot', 'street']","['durable', 'fast']",MTurk,
11,motorcycle,0.012,1.2,12.0,0.47244094488188976,0.03937007874015748,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,80.0,176.0,353.15,15000.0,13636.363636363636,11538.461538461537,200.0,200000.0,440.9248840367555,7054.798144588088,0.01,1.0,10.0,0.3937007874015748,0.03280839895013123,"['rough', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['plain', 'striped']","['garage', 'parking lot', 'street']","['durable', 'powerful', 'tough']",MTurk,
12,airplane,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,,,,90.0,81.81818181818181,69.23076923076923,45.0,45000.0,99.20809890826999,1587.3295825323198,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,"['ribbed', 'smooth']","['blue', 'red', 'silver', 'white']","['aluminium', 'fiber', 'glass', 'plastic']",['cylindrical'],"['plain', 'striped']","['airfield', 'hangar', 'runway']","['durable', 'weather-resistant']",MTurk,
13,airplane,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,,,,100000000.0,90909090.9090909,76923076.92307691,40000.0,40000000.0,88184.9768073511,1410959.6289176175,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,"['metallic', 'smooth']","['blue', 'silver', 'white']",['aluminium'],['cylindrical'],"['plain', 'striped']","['airfield', 'hangar', 'runway']",['durable'],MTurk,
