,texture,pattern,material,location,disposition,colour,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
0,[],[],,[],,"['beige', 'black', 'grey', 'seal brown', 'tan']","['circular', 'oval']",0.24,22.0,235.4,8.0,0.24,0.32,22.86,235.0,12.5,0.25,0.23,25.4,234.0,12.5,0.18,0.5,350.0,0.75,32.4,100.99,24.99,10.0,22.5,70.2,293.15,baseball glove,llama31_8b_standard
1,[],[],"['cork', 'leather']",,,"['black', 'grey', 'seal brown', 'tan']","['circular', 'oval', 'rectangle']",0.35,21.75,210.0,9.5,0.25,0.32,26.0,225.0,10.5,0.12,0.33,24.0,220.0,12.5,0.28,0.45,270.0,0.7,8.5,99.95,40.0,49.95,20.5,70.0,288.0,baseball glove,llama31_8b_standard
2,,[],[],"['baseball field', 'stadium']","['protective', 'supportive']",,[],0.275,25.4,215.9,11.5,10.5,0.2,27.0,242.0,10.5,0.16,0.25,24.65,215.0,12.25,0.24,0.55,260.0,11.3,36.0,59.99,120.98,30.0,20.5,70.0,293.15,baseball glove,llama31_8b_standard
3,[],[],['leather'],[],[],"['black', 'seal brown', 'tan']",,0.33,24.5,205.0,12.5,0.37,0.25,23.0,,12.5,,0.25,25.4,,12.25,0.12,0.85,390.0,13.0,34.5,200.0,49.99,10.99,20.0,72.0,293.15,baseball glove,llama31_8b_standard
4,,[],"['leather', 'skin']",,['protective'],"['black', 'navy blue', 'red', 'seal brown', 'tan']",[],0.23,21.5,,12.5,0.16,0.275,21.8,230.0,11.5,0.25,0.3,24.38,,11.5,0.4,0.35,340.0,11.5,28.0,40.0,20.99,5.5,22.0,72.0,293.15,baseball glove,llama31_8b_standard
5,[],,,,['protective'],,"['crescent', 'oval']",0.25,24.2,220.0,11.25,0.28,0.245,25.4,,10.3,,,26.0,220.0,12.5,0.125,0.45,420.0,0.8,34.0,89.95,50.0,35.0,22.5,72.0,293.15,baseball glove,llama31_8b_standard
6,,,['leather'],,,"['black', 'grey', 'seal brown', 'tan', 'white']",,0.23,24.13,220.0,11.5,0.25,0.25,24.1,,9.5,0.22,0.24,25.4,230.0,12.5,0.28,0.65,,12.0,30.7,100.0,59.99,70.0,20.0,75.0,288.0,baseball glove,llama31_8b_standard
7,[],,[],,"['fashionable', 'protective']","['black', 'grey', 'navy blue', 'seal brown', 'tan']",,0.29,24.5,184.0,12.25,0.33,0.15,25.4,215.0,11.5,0.4,0.25,24.1,240.0,11.75,0.3,0.8,420.0,13.5,32.0,79.99,35.0,50.0,22.0,68.0,293.15,baseball glove,llama31_8b_standard
8,,[],,,[],"['black', 'blue', 'grey', 'red', 'seal brown', 'tan']","['circular', 'oval']",0.35,26.7,,11.5,0.38,0.27,27.94,220.0,10.5,0.13,0.25,26.7,215.0,8.0,0.17,0.57,350.0,11.5,14.5,95.0,65.5,35.99,22.0,67.0,293.15,baseball glove,llama31_8b_standard
9,,,[],[],,,"['circular', 'oval']",0.33,24.5,220.0,12.5,10.5,0.15,26.0,255.0,11.5,10.5,0.32,27.0,223.0,10.5,0.25,0.45,360.0,10.5,8.5,99.99,75.95,200.0,23.9,72.0,293.15,baseball glove,llama31_8b_standard
10,,[],"['animal skin', 'leather']",[],,"['beige', 'black', 'red', 'seal brown', 'tan']","['cylinder', 'oval', 'sphere', 'torus']",0.22,23.5,170.0,11.25,0.5,0.3,27.94,260.0,11.0,0.4,0.254,27.94,216.0,12.25,0.75,0.45,390.0,0.83,36.0,100.0,20.95,30.99,22.5,70.0,296.15,baseball glove,llama31_8b_standard
11,[],,['leather'],,[],,"['oval', 'round']",0.225,24.1,220.0,12.75,0.31,0.29,27.0,230.0,11.5,0.07,0.25,26.67,,12.5,0.28,0.45,280.0,11.9,12.0,89.95,45.99,25.0,22.5,70.0,293.15,baseball glove,llama31_8b_standard
12,[],,['leather'],"['backyard', 'baseball field', 'park', 'stadium']",['protective'],"['black', 'blue', 'red', 'seal brown', 'tan']","['oval', 'round']",0.35,25.4,185.0,11.5,0.25,0.18,23.5,240.0,11.5,0.18,0.29,27.94,230.0,12.5,0.11,0.4,,0.8,37.0,100.0,20.99,50.99,22.5,70.0,293.15,baseball glove,llama31_8b_standard
13,[],,,,['protective'],"['beige', 'black', 'navy blue', 'seal brown', 'tan']",[],0.3,24.5,,11.5,0.18,0.16,25.4,230.0,9.75,10.25,0.255,29.0,230.0,10.5,0.12,0.45,340.0,0.85,8.5,50.0,45.0,25.99,20.0,72.0,293.15,baseball glove,llama31_8b_standard
14,[],,"['leather', 'nylon']",,"['functional', 'protective', 'supportive']","['black', 'grey', 'navy blue', 'seal brown', 'tan']","['circular', 'oval']",0.25,24.2,220.0,12.0,0.65,0.25,24.2,230.0,11.5,0.03,0.265,22.86,,10.5,0.12,0.45,240.0,11.4,8.2,150.0,40.0,40.0,20.0,73.4,293.15,baseball glove,llama31_8b_standard
15,,[],,[],,,"['oval', 'round']",0.23,27.0,240.0,11.5,0.38,0.18,23.8,235.0,12.5,0.35,0.33,18.5,215.0,12.75,0.25,0.45,400.0,10.5,35.5,100.0,45.99,45.0,23.0,75.0,293.15,baseball glove,llama31_8b_standard
16,[],[],['leather'],,['protective'],"['beige', 'black', 'blue', 'grey', 'red', 'seal brown', 'tan']","['oval', 'rectangle']",0.31,23.5,230.0,12.0,0.25,0.28,23.5,240.0,11.5,0.32,0.23,25.4,240.0,12.5,0.11,0.5,330.0,12.8,9.5,50.0,30.99,50.0,22.5,72.0,293.15,baseball glove,llama31_8b_standard
17,[],[],,[],,,"['oval', 'wedge']",0.33,23.0,145.0,12.0,9.5,0.35,20.3,240.0,11.0,0.23,0.203,26.67,225.0,12.5,0.3,0.45,230.0,11.5,11.2,100.0,30.99,40.0,24.0,68.0,293.15,baseball glove,llama31_8b_standard
18,[],[],,,[],[],,0.26,24.2,165.0,9.0,0.24,0.19,24.5,145.0,,0.22,0.29,23.0,205.0,12.25,0.15,0.45,300.0,12.2,14.5,100.0,20.95,45.0,22.0,70.0,293.15,baseball glove,llama31_8b_standard
