,concept,model_name,colour,shape,location,texture,material,pattern,disposition,function,size,weight,temperature,value,scenario,context,colour_sum,shape_sum,location_sum,texture_sum,material_sum,pattern_sum,disposition_sum,function_sum,size_sum,weight_sum,temperature_sum,value_sum,scenario_sum,context_sum
206,TV,llava_7b_standard,"[-1, 1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, -1, -1, -1, 1, 1]","[1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, -1, 1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1]",-7,-1,7,-9,-1,-9,-9,9,9,-5,-9,-9,-7,7
366,TV,llama31_8b_standard,[-1],[1],[-1],[-1],[1],[-1],[-1],[1],[1],[-1],[-1],[1],[-1],[1],-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1
126,TV,qwen25_7b_standard,"[1, 1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, 1, 1, 1, -1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1]",6,2,12,-12,8,-12,-12,12,12,-2,-12,0,-12,10
46,TV,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,TV,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,TV,qwen25_1b_standard,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1]","[1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1]","[1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]","[1, -1, -1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1]","[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",-4,4,2,-6,10,-6,-6,10,0,-4,-12,10,-10,6
138,airplane,qwen25_7b_standard,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, 1, 1, -1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-18,18,14,-18,16,-18,-16,18,18,-10,-18,-18,4,18
218,airplane,llava_7b_standard,"[-1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, -1]","[-1, 1, -1, -1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[1, -1, -1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1]","[-1, 1, -1, 1, -1, 1, 1]",-7,5,1,-7,3,-7,-7,7,7,7,-7,-7,-7,1
458,airplane,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,airplane,qwen25_1b_standard,"[1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 1, -1]","[-1, 1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1]","[-1, 1, -1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1]","[-1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1]","[1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1, 1, 1]","[1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, -1]",-7,13,1,-5,13,-3,-5,11,-3,-1,-7,-1,-5,3
