,concept,model_name,colour,shape,location,texture,material,pattern,disposition,function,size,weight,temperature,value,scenario,context,colour_sum,shape_sum,location_sum,texture_sum,material_sum,pattern_sum,disposition_sum,function_sum,size_sum,weight_sum,temperature_sum,value_sum,scenario_sum,context_sum
112,TV,qwen25_7b_standard,"[1, 1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, 1, 1, 1, -1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1]",0.5,0.16666666666666666,1.0,-1.0,0.6666666666666666,-1.0,-1.0,1.0,1.0,-0.16666666666666666,-1.0,0.0,-1.0,0.8333333333333334
192,TV,llava_7b_standard,"[-1, 1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, -1, -1, -1, 1, 1]","[1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, -1, 1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1]",-0.7777777777777778,-0.1111111111111111,0.7777777777777778,-1.0,-0.1111111111111111,-1.0,-1.0,1.0,1.0,-0.5555555555555556,-1.0,-1.0,-0.7777777777777778,0.7777777777777778
352,TV,llama31_8b_standard,[-1],[1],[-1],[-1],[1],[-1],[-1],[1],[1],[-1],[-1],[1],[-1],[1],-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
32,TV,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
432,TV,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
272,TV,qwen25_1b_standard,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1]","[1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1]","[1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]","[1, -1, -1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1]","[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]","[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",-0.2857142857142857,0.2857142857142857,0.14285714285714285,-0.42857142857142855,0.7142857142857143,-0.42857142857142855,-0.42857142857142855,0.7142857142857143,0.0,-0.2857142857142857,-0.8571428571428571,0.7142857142857143,-0.7142857142857143,0.42857142857142855
128,airplane,qwen25_7b_standard,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, 1, 1, -1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1.0,1.0,0.7777777777777778,-1.0,0.8888888888888888,-1.0,-0.8888888888888888,1.0,1.0,-0.5555555555555556,-1.0,-1.0,0.2222222222222222,1.0
48,airplane,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
448,airplane,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
288,airplane,qwen25_1b_standard,"[1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 1, -1]","[-1, 1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1]","[-1, 1, -1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1, 1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1]","[-1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1]","[1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1, 1, 1]","[1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, -1]",-0.5384615384615384,1.0,0.07692307692307693,-0.38461538461538464,1.0,-0.23076923076923078,-0.38461538461538464,0.8461538461538461,-0.23076923076923078,-0.07692307692307693,-0.5384615384615384,-0.07692307692307693,-0.38461538461538464,0.23076923076923078
