,Unnamed: 0,concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
0,,book,0.29999999999999993,21.0,210.0,9.025,3.4875,0.15876999999999997,21.0,192.0,9.175,1.1,,,297.3999999999999,11.3445,10.319500000000001,0.0,0.5,247.5,1.5,7.6,0.1755,17.645000000000003,161.5,6.0,6.0,[],"['blue', 'red', 'yellow', 'green', 'white', 'black', 'grey']","['cloth', 'paper', 'leather']",['rectangle'],[],['library'],[],qwen25_7b_standard
1,,book,78.90155,155.11749999999998,234.5922222222222,3.3453000000000004,41.79104375,9.0800283945,89.8070313559663,223.96999999999997,5.401546105263158,8.163222807017545,18.825,68.3475,280.25249999999994,38.235263157894735,17.914857143,1.8719999999999999,0.839375,162.960625,1.0527883983582091,0.6804645320146154,20.23877,62.78465,336.659,2.593318945,2.298555,[],"['blue', 'red', 'green', 'black', 'yellow']","['cloth', 'paper', 'plastic', 'cardboard']","['rectangle', 'square']",[],"['home', 'library', 'bookstore', 'schoolhouse', 'store']",[],qwen25_1b_standard
2,,book,0.14035,25.535,238.79000000000002,8.6125,6.60565,0.23335000000000003,26.4235,264.6,7.9,0.7079,0.0,0.0,0.0,9.827777777777776,9.677857142857144,0.0,0.485,221.21052631578948,1.1625,1.095,0.12439,24.6655,193.9885,7.988499999999999,2.7899,"['rough', 'glossy', 'smooth', 'matted']","['seal brown', 'blue', 'red', 'yellow', 'purple', 'orange', 'green', 'white', 'black', 'pink']",[],"['triangle', 'circle', 'square', 'rectangle', 'oval']",[],"['home', 'library', 'bookstore', 'schoolhouse', 'office']",[],phi3mini_4k_instruct_q4
3,,book,0.2046235294117647,17.00076923076923,160.50314705882352,1.6680555555555554,2.08,0.48503636363636365,22.718784210526316,179.19166666666666,3.8850000000000002,4.178764705882353,17.8042283945,57.404999999999994,293.9735294117646,10.583055555555555,7.174999999999999,8.276666666666667,0.9453125000000001,94967802.77037638,1.19662,12.783333333333333,0.38208571428571425,14.594444444444443,130.56875,4.323529411764706,2.46841875,[],['black'],['paper'],['rectangle'],[],['library'],[],llava_7b_standard
4,,book,20.646742234874512,17.245802857142856,109.091875,6.8100000000000005,4.535712,119.64936232050067,28.480588235294114,6924.806666666666,7.61,14.839520833333337,198.85,106.25,200.13888888888889,875.4006666666667,33.09957309090909,12.48470588235294,7716192.120186391,382.5588432992308,24.30124250000001,151.60818181818183,91.47714285714285,133.6322222222222,134.324375,6.942045454545454,7.909375,[],['red'],['paper'],[],[],[],[],llama_30b_standard
5,,book,1.0459999999999998,18.283157894736842,201.23529411764707,5.09764705882353,1.631142105263158,1.633,18.0625,196.17894736842106,7.247692307692308,1.7984210526315791,20.63684210526316,70.61764705882354,291.871875,15.199473684210528,14.2185,172.1152631578947,0.82875,430.42105263157896,2.421875,14.610526315789475,0.25321052631578955,15.288999999999998,170.3,6.465833333333332,1.5052631578947366,[],[],"['paper', 'leather']",[],[],[],[],llama31_8b_standard
6,,motorcycle,1.2225,110.75,1150.0,53.7,4.325,2.5,213.0,2385.0,40.025,14.005,22.75,72.0,295.8999999999999,4200.0,2600.0,1765.0,250.0,250000.0,455.0,16130.0,1.2149999999999999,77.55,772.5,60.025,2.45,['metallic'],['black'],"['steel', 'aluminium', 'plastic', 'leather']",[],[],['garage'],[],qwen25_7b_standard
7,,motorcycle,1.5118916645,191.34519810526317,1680.6736842105263,98.523285,30.987796862921346,1.7254999999999998,210.317,1951.6799999999998,76.5155,278.00024999999994,21.53684210526316,84.6885,326.1124999999999,2162.654,1703.684,735.807,160.48000000000002,8630.975,321.1025,788.5620247811295,0.7087383157894737,141.18192571958565,1405.5,26.177750000000003,19.38975,['metallic'],"['blue', 'red', 'green', 'black', 'white']","['steel', 'aluminium']",['square'],[],"['street', 'parking lot']",[],qwen25_1b_standard
8,,motorcycle,1.1,164.25,1256.0,47.1,4.675,2.3649999999999998,199.5,2000.0,74.67,6.609999999999999,14.3125,65.47000000000001,296.8499999999999,12350.0,4950.0,1381.25,220.5,260037.1,411.5,406.51,0.9850000000000001,160.45,1114.5,29.425,4.925,"['metallic', 'matted']","['grey', 'seal brown', 'blue', 'red', 'yellow', 'silver', 'orange', 'green', 'white', 'black', 'purple', 'pink']",[],"['triangle', 'rectangle', 'cylinder']",[],"['street', 'shop', 'garage', 'highway']",[],phi3mini_4k_instruct_q4
9,,motorcycle,1.35225,187.60833333333332,1187.90452,36.60628571428572,6.138888888888889,2.690625,218.97222222222223,2327.8947368421054,76.83250000000001,8.43578947368421,17.2,51.77,295.0424999999999,5846.7,3552.9411764705883,1744.1758620882354,160.05736842105264,57844.14705882353,339.42564705882353,233.38,1.088235294117647,77.40444444444444,8096.566682352941,27.15277777777778,4.544444444444445,[],"['black', 'blue', 'red']","['steel', 'aluminium']",[],[],['road'],[],llava_7b_standard
