concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
person,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,1.8288000000000002,182.88,1828.8000000000002,72.00000000000001,6.0,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,['smooth'],['red'],['plastic'],['round'],['plain'],['shop'],['tough'],MTurk
person,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,,,,,,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,['smooth'],['seal brown'],[],['cylindrical'],"['plain', 'striped']",['home'],['friendly'],MTurk
person,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,"['rough', 'smooth']","['black', 'color', 'grey', 'red', 'seal brown']","['flesh', 'hair', 'organic']","['cylindrical', 'humanoid']","['plain', 'striped']","['office', 'park', 'street']","['emotional', 'fragile', 'friendly', 'intelligent']",MTurk
bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,,,,300.0,272.7272727272727,230.76923076923075,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['aluminium', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical']","['plain', 'striped']","['garage', 'park', 'schoolhouse', 'street']","['durable', 'lightweight', 'weather-resistant']",MTurk
bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.75,175.0,1750.0,68.89763779527559,5.741469816272965,-9.444444444444445,15.0,263.7055555555555,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.65,65.0,650.0,25.590551181102363,2.1325459317585302,"['metallic', 'rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['aluminium', 'fiber', 'plastic', 'rubber', 'steel']","['circular', 'cylindrical']","['plain', 'striped']","['basement', 'garage', 'park', 'schoolhouse', 'sidewalk', 'street']","['durable', 'weather-resistant']",MTurk
bicycle,1.0,100.0,1000.0,39.37007874015748,3.2808398950131235,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,,,,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.968503937007874,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['fiber', 'leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['logo', 'plain', 'striped']","['garage', 'outdoor', 'shed', 'store', 'street']","['durable', 'lightweight', 'weather-resistant']",MTurk
car,1.6764000000000001,167.64000000000001,1676.4,66.00000000000001,5.5,4.2672,426.72,4267.2,168.00000000000003,14.0,90.55555555555556,195.0,363.7055555555555,23359.0,21235.454545454544,17968.461538461535,73.7087,73708.7,162.5,2600.0,1.8288000000000002,182.88,1828.8000000000002,72.00000000000001,6.0,"['metallic', 'rough', 'smooth']","['blue', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",[],[],['garage'],[],MTurk
car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,,,,30000.0,27272.727272727272,23076.923076923074,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,"['metallic', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['aluminium', 'glass', 'plastic', 'rubber', 'steel']",[],"['plain', 'striped']","['driveway', 'garage', 'parking lot', 'road']","['durable', 'fast', 'weather-resistant']",MTurk
car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,25.0,77.0,298.15,35000.0,31818.181818181816,26923.076923076922,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,"['glossy', 'smooth']","['black', 'blue', 'grey', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",['rectangle'],"['plain', 'striped']","['driveway', 'garage', 'highway', 'parking lot', 'street']","['durable', 'heat-resistant', 'water-resistant']",MTurk
motorcycle,1.1,110.00000000000001,1100.0,43.30708661417323,3.608923884514436,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,90.0,194.0,363.15,10000.0,9090.90909090909,7692.3076923076915,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,"['glossy', 'matted', 'rough', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['plain', 'striped']","['garage', 'highway', 'parking lot', 'street']","['agile', 'durable', 'fast', 'weather-resistant']",MTurk
