concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
person,,,,,,,,,,,37.0,98.6,310.15,,,,62.142103999999996,62142.104,137.0,2192.0,,,,,,[],[],[],['cylindrical'],['striped'],"['bedroom', 'kitchen', 'office']","['curious', 'friendly']",MTurk
person,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,[],"['black', 'blue', 'green', 'grey', 'pink', 'red', 'seal brown', 'white']","['bone', 'hair', 'skin', 'water']",['humanoid'],[],[],"['communicative', 'complex', 'curious', 'emotional', 'intelligent', 'resilient', 'social', 'vulnerable']",MTurk
person,1.7,170.0,1700.0,66.92913385826772,5.57742782152231,,,,,,37.0,98.6,310.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,[],"['black', 'grey', 'red', 'seal brown']","['bone', 'hair', 'skin']","['cylindrical', 'humanoid']",[],['office'],"['durable', 'emotional', 'fragile', 'intelligent', 'social']",MTurk
bicycle,0.04,4.0,40.0,1.5748031496062993,0.13123359580052493,0.06,6.0,60.0,2.362204724409449,0.19685039370078738,,,,10.0,9.09090909090909,7.692307692307692,40.0,40000.0,88.18497680735109,1410.9596289176175,0.04,4.0,40.0,1.5748031496062993,0.13123359580052493,[],['red'],['metal'],['rectangle'],[],['garage'],['durable'],MTurk
bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.7,170.0,1700.0,66.92913385826772,5.577427821522309,,,,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['leather', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical', 'rectangle', 'wheel']",['striped'],"['garage', 'park', 'shed', 'street']","['durable', 'repairable', 'sturdy', 'water-resistant']",MTurk
bicycle,1.0,100.0,1000.0,39.37007874015748,3.280839895013123,1.75,175.0,1750.0,68.89763779527559,5.741469816272965,,,,500.0,454.5454545454545,384.6153846153846,12.0,12000.0,26.45549304220533,423.2878886752853,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['leather', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical', 'wheel']",['striped'],"['garage', 'park', 'shed', 'street']","['durable', 'lightweight', 'weather-resistant']",MTurk
car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,25.0,77.0,298.15,30000.0,27272.727272727272,23076.923076923074,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,[],"['black', 'blue', 'grey', 'red', 'white']","['glass', 'leather', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle', 'wheel']",['striped'],"['driveway', 'garage', 'street']","['durable', 'tough', 'water-resistant']",MTurk
car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,,,,35000.0,31818.181818181816,26923.076923076922,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,[],"['black', 'blue', 'grey', 'silver', 'white']","['glass', 'plastic', 'rubber']",[],[],[],"['complex', 'durable', 'independent', 'noisy', 'personal', 'safe', 'utilitarian', 'versatile']",MTurk
car,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,25.0,77.0,298.15,30000.0,27272.727272727272,23076.923076923074,1500.0,1500000.0,3306.936630275666,52910.98608441066,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,[],"['black', 'blue', 'grey', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],"['driveway', 'garage', 'highway', 'street']","['automated', 'comfortable', 'efficient', 'fast', 'independent', 'noisy', 'personal', 'powerful', 'reliable']",MTurk
motorcycle,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,70.0,158.0,343.15,12000.0,10909.090909090908,9230.76923076923,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'blue', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],[],"['agile', 'fast', 'powerful']",MTurk
