,texture,pattern,material,location,disposition,colour,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
0,[],[],['leather'],"['baseball field', 'shop', 'store']",[],"['black', 'blue', 'green', 'grey', 'red', 'white', 'yellow']","['oval', 'rectangle']",0.58,45.0,125.0,11.5,2.5,0.11,46.0,128.0,11.5,2.5,0.85,39.0,128.0,11.8,2.5,0.8,500.0,14.5,10.5,75.0,80.0,1.5,,65.0,298.15,baseball glove,phi3mini_4k_instruct_q4
1,[],[],['leather'],"['baseball field', 'home', 'store']",[],"['black', 'blue', 'green', 'grey', 'orange', 'pink', 'purple', 'red', 'seal brown', 'white', 'yellow']","['cylinder', 'oval', 'rectangle']",0.6,36.0,115.0,11.5,2.5,0.08,40.0,120.0,12.0,3.0,0.65,38.5,125.0,11.5,2.5,0.6,500.0,12.0,14.0,150.0,89.99,3.0,20.0,75.0,295.2,baseball glove,phi3mini_4k_instruct_q4
2,[],[],['leather'],"['baseball field', 'gym', 'home', 'indoor', 'store']",[],"['black', 'blue', 'green', 'grey', 'orange', 'pink', 'purple', 'red', 'seal brown', 'white', 'yellow']","['cylinder', 'oval', 'rectangle', 'v-shaped']",0.27,43.2,118.5,11.5,2.5,0.08,38.5,115.0,12.0,2.5,0.7,38.0,125.0,11.5,2.5,0.7,500.0,10.0,14.0,60.0,45.0,1.0,25.0,65.0,293.15,baseball glove,phi3mini_4k_instruct_q4
3,['smooth'],[],['leather'],"['baseball field', 'gym', 'home', 'store']",[],"['black', 'blue', 'grey', 'red', 'seal brown', 'white', 'yellow']","['oval', 'rectangle']",0.25,43.2,115.0,11.5,2.5,0.24,38.5,145.0,11.8,2.5,0.27,48.5,120.0,11.75,2.5,1.2,1000.0,12.3,14.5,150.0,45.0,,23.5,65.0,298.15,baseball glove,phi3mini_4k_instruct_q4
4,[],[],['leather'],"['baseball field', 'market', 'outdoor', 'store']",[],"['black', 'blue', 'green', 'grey', 'orange', 'purple', 'red', 'silver', 'white', 'yellow']","['concave', 'oval', 'rectangle']",0.52,44.0,115.0,12.0,2.5,0.08,37.0,119.0,12.0,2.5,0.7,44.0,123.0,11.65,2.5,1.2,500.0,12.5,10.5,60.0,60.0,1.5,25.0,65.0,295.15,baseball glove,phi3mini_4k_instruct_q4
5,[],[],['leather'],"['baseball field', 'room', 'store']",[],"['black', 'blue', 'green', 'grey', 'purple', 'red', 'seal brown', 'white', 'yellow']","['oval', 'rectangle']",0.52,44.0,125.0,11.5,2.5,0.29,37.0,125.0,11.8,2.5,0.62,45.0,122.5,11.75,3.0,0.7,950.0,10.5,12.5,100.0,80.0,1.5,25.0,65.0,293.15,baseball glove,phi3mini_4k_instruct_q4
6,[],[],['leather'],"['baseball field', 'field', 'home', 'room', 'store']",[],"['black', 'blue', 'green', 'grey', 'or', 'purple', 'red', 'seal brown', 'silver', 'white', 'yellow']","['concave', 'oval', 'rectangle']",0.33,43.5,127.0,11.5,2.5,0.32,48.5,125.0,11.6,2.5,0.6,38.5,120.0,11.5,3.0,1.0,500.0,12.5,14.0,49.99,120.0,0.5,,68.0,298.15,baseball glove,phi3mini_4k_instruct_q4
7,"['rough', 'smooth']",[],['leather'],"['baseball field', 'home', 'museum', 'store']",[],"['black', 'blue', 'green', 'orange', 'pink', 'purple', 'red', 'seal brown', 'white', 'yellow']","['oval', 'rectangle', 'v-shaped']",0.085,115.0,125.0,11.5,2.5,0.25,35.0,120.0,12.0,2.5,0.27,100.0,118.5,11.6,2.5,1.2,800.0,10.0,10.5,150.0,120.0,,25.0,65.0,298.15,baseball glove,phi3mini_4k_instruct_q4
8,[],[],['leather'],"['gym', 'shop', 'stadium', 'store']",[],"['black', 'blue', 'green', 'grey', 'orange', 'purple', 'red', 'seal brown', 'white', 'yellow']","['concave', 'oval', 'rectangle', 'u-shape']",0.08,44.0,127.5,12.0,2.5,0.27,34.0,120.0,11.5,2.5,0.9,118.5,128.0,11.5,2.5,1.2,900.0,12.5,10.5,120.0,120.0,2.5,,65.0,293.15,baseball glove,phi3mini_4k_instruct_q4
9,[],[],"['leather', 'nylon']","['bag', 'baseball field', 'museum', 'shop', 'stadium', 'store']",[],"['black', 'blue', 'green', 'orange', 'purple', 'red', 'silver', 'white', 'yellow']","['cylinder', 'oval', 'rectangle']",0.35,45.0,125.0,11.5,2.5,0.085,39.5,120.0,11.8,2.5,0.89,39.37,127.5,11.75,2.5,1.2,900.0,10.5,12.0,120.0,85.0,1.5,25.0,65.0,298.15,baseball glove,phi3mini_4k_instruct_q4
