,texture,pattern,material,location,disposition,colour,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
0,[],[],"['fabric', 'leather', 'polyester']","['baseball field', 'home', 'room']",[],"['black', 'green', 'red', 'white', 'yellow']",['round'],0.127,15.0,325.0,10.5,10.5,0.438,36.5,350.7,10.5,9.5,0.75,23.0,273.0,10.5,10.0,1.65,450.0,12.3456,12.0,350.42,180.5,8.95,15.8,70.5,306.15,baseball glove,qwen25_1b_standard
1,[],[],['leather'],"['baseball field', 'pocket']",[],['black'],,0.17625,24.5,245.0,9.5,10.25,0.145,34.5,250.0,10.5,10.5,0.162,23.5,235.0,10.5,10.5,0.853,420.5,15.0,14.0,325.0,190.5,7.0,20.0,70.6,260.15,baseball glove,qwen25_1b_standard
2,[],[],"['leather', 'polyester']","['baseball field', 'home', 'store']",['protective'],"['black', 'blue', 'green', 'red', 'white']",['round'],0.128,23.5,205.4,10.5,10.5,0.42,205.9,2750.0,9.75,9.5,29.5,25.7,280.0,10.5,10.5,1.5,205.0,12.0,12.0,300.0,250.89,5.0,18.0,70.0,273.15,baseball glove,qwen25_1b_standard
3,[],[],['leather'],"['home', 'room', 'store']",[],[],[],0.125,23.65,287.6,10.5,10.5,0.36,180.5,2350.0,10.5,9.54,34.0,23.5,215.0,9.5,10.5,1.35,2100.0,12.0,10.48,150.0,250.87,10.5,12.0,75.0,273.15,baseball glove,qwen25_1b_standard
4,[],[],['leather'],"['home', 'store']",[],"['green', 'red', 'white', 'yellow']","['oval', 'round']",25.0,28.0,247.6,10.5,10.5,0.145,23.5,345.0,9.5,9.75,17.5,23.5,250.0,10.5,10.5,0.53,500.0,12.5,8.5,50.0,150.24,2.0,15.0,70.0,253.15,baseball glove,qwen25_1b_standard
5,[],[],"['fabric', 'leather', 'plastic']","['home', 'stadium']",,"['black', 'green', 'red', 'white', 'yellow']",['round'],18.5,24.8,375.0,10.5,10.5,29.0,30.5,265.0,9.75,9.5,0.468,23.5,215.7,10.5,10.5,0.78,2500.0,12.5,14.0,100.5,80.95,7.9,15.0,72.0,20.0,baseball glove,qwen25_1b_standard
6,[],[],"['fabric', 'leather']","['baseball field', 'shop']",[],"['black', 'blue', 'green', 'red', 'white']",[],0.135,24.9,210.5,10.5,9.5,0.125,23.5,105.74,10.5,10.75,0.147,21.0,270.0,10.5,10.5,1.74,530.0,12.0,12.34,50.0,50.98,14.5,17.5,72.0,274.15,baseball glove,qwen25_1b_standard
7,[],[],"['fiberglass', 'leather']","['home', 'store']",[],"['black', 'green', 'red', 'seal brown', 'white']",['round'],0.14,28.0,340.0,10.5,10.5,1.2,32.0,215.0,10.5,10.5,0.15,28.0,240.0,10.5,10.5,1.05,1850.0,15.0,10.5,100.75,100.0,7.0,18.0,73.0,273.15,baseball glove,qwen25_1b_standard
8,[],[],['leather'],['stadium'],['fashionable'],"['black', 'blue', 'green', 'red', 'seal brown']","['oval', 'rectangle', 'round']",0.29,23.5,235.4,10.5,9.5,0.125,213.0,250.0,10.5,10.5,20.5,35.0,325.0,10.5,10.75,1.35,600.0,13.0,10.75,50.74,65.0,14.75,20.0,72.0,306.15,baseball glove,qwen25_1b_standard
9,[],[],"['fabric', 'leather']","['stadium', 'store']",['protective'],"['black', 'green', 'red', 'seal brown', 'white']",['round'],0.145,26.5,340.0,10.5,9.5,0.136,275.0,285.0,10.25,9.5,0.1835,23.5,345.0,10.75,10.5,1.25,2079.0,14.0,12.0,105.97,120.57,12.5,15.0,70.5,253.15,baseball glove,qwen25_1b_standard
10,[],[],"['fabric', 'leather', 'polyester']",['stadium'],[],"['black', 'green', 'red', 'seal brown', 'white']",[],2.7,140.0,235.0,9.5,10.5,1.234,23.0,219.0,10.5,9.5,32.0,27.5,130.5,11.0,10.5,0.685,1750.0,10.5,12.5,50.0,130.58,16.58,20.5,70.0,280.15,baseball glove,qwen25_1b_standard
11,[],[],['leather'],"['field', 'stadium']",[],"['black', 'green', 'red', 'seal brown', 'white']",,2.43,26.0,215.0,10.5,9.5,0.125,23.5,230.0,9.75,9.5,12.5,25.4,250.0,10.5,10.5,2.5,2500.0,10.5,10.5,100.0,49.0,4.0,12.5,70.0,15.0,baseball glove,qwen25_1b_standard
12,[],[],"['fabric', 'leather', 'rubber']","['home', 'store']",['protective'],"['black', 'blue', 'green', 'seal brown']",['round'],28.0,25.0,325.0,10.5,9.5,0.1435,230.0,120.5,11.75,9.5,17.0,28.0,268.0,9.25,10.25,0.54,1500.0,12.0,12.0,120.97,149.0,8.0,20.5,75.0,298.15,baseball glove,qwen25_1b_standard
13,[],[],"['leather', 'plastic']","['field', 'indoor', 'store']",[],"['black', 'green', 'red', 'seal brown', 'white']","['rectangular cuboid', 'round']",2.54,18.0,230.0,10.5,9.5,12.5,23.5,215.0,9.5,10.5,0.24,24.0,240.0,10.5,10.5,0.625,1000.0,12.5,9.45,205.98,400.0,28.0,20.5,70.0,303.15,baseball glove,qwen25_1b_standard
14,"['metallic', 'woven']",[],"['cotton', 'leather', 'polyester']","['field', 'home', 'stadium', 'store']",[],"['black', 'blue', 'green', 'red', 'white']",['round'],24.0,28.0,150.0,10.5,10.5,0.112,32.0,238.0,10.5,9.5,25.4,24.0,280.0,10.5,10.0,1.25,4098.0,15.86,12.5,100.56,350.74,10.5,12.3,72.0,273.15,baseball glove,qwen25_1b_standard
15,[],[],"['fabric', 'leather']","['baseball field', 'closet', 'home', 'office', 'store']",[],"['black', 'red', 'seal brown', 'white']","['oval', 'round']",3.75,28.5,260.5,9.0,10.5,0.147,23.0,236.0,10.5,10.5,30.48,23.5,128.0,9.5,10.5,0.79,2053.0,14.5,12.5,80.5,20.54,10.5,15.0,70.0,280.15,baseball glove,qwen25_1b_standard
16,[],[],"['fabric', 'leather', 'nylon']",['stadium'],['protective'],"['black', 'red', 'seal brown', 'white']","['oval', 'round']",0.125,24.0,270.0,10.5,10.5,0.138,32.5,240.0,10.5,10.0,0.2584,24.5,207.6,10.75,10.75,0.875,1200.0,13.6,12.5,59.76,850.0,4.95,10.5,60.9,120.964778573,baseball glove,qwen25_1b_standard
17,[],[],['leather'],"['field', 'gymnasium', 'home', 'stadium']",[],"['black', 'green', 'red', 'yellow']",[],0.125,30.5,195.0,10.5,9.5,23.78,28.5,240.0,10.5,10.5,30.5,32.5,250.0,10.5,10.5,0.75,1500.0,14.08,7.54,50.0,50.0,105.98,15.0,70.0,275.15,baseball glove,qwen25_1b_standard
18,[],,['leather'],[],[],[],"['oval', 'rectangle', 'round']",0.124,24.0,240.0,10.5,9.5,18.5,37.4,235.0,10.5,9.5,0.45,24.5,230.0,10.5,10.5,1.67,6450.0,10.5,8.25,125.0,150.72,8.5,18.375,70.0,280.15,baseball glove,qwen25_1b_standard
19,[],[],"['leather', 'polyester']",['stadium'],[],"['blue', 'green', 'red', 'white', 'yellow']",['round'],30.5,23.0,340.0,10.5,9.0,0.13,34.0,340.0,10.5,10.5,0.134,24.5,254.0,10.5,10.5,1.25,6045.9,14.95,12.0,150.0,30.45,15.0,18.5,75.0,273.15,baseball glove,qwen25_1b_standard
20,"['rubbery', 'soft']",[],"['nylon', 'plastic', 'rubber']",['playground'],[],"['blue', 'green', 'yellow']","['circle', 'ellipse', 'sphere']",2.54,25.4,254.0,8.0,2.54,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.95,254.83,8.57,3.2,2.5,5.2,0.5,23.5,64.9,300.0,frisbee,qwen25_1b_standard
21,['smooth'],[],"['fiberglass', 'plastic']","['gymnasium', 'indoor', 'parking lot', 'playground']",[],"['blue', 'green', 'red', 'yellow']","['circle', 'oval', 'square', 'triangle']",0.254,25.4,254.0,10.0,0.2546,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.275,257.0,5.7,2.3,5.7,,2.5,25.0,68.0,275.43,frisbee,qwen25_1b_standard
22,"['smooth', 'soft']",[],['plastic'],['golf course'],[],[],"['oval', 'round']",0.254,25.4,254.0,10.0,0.8333333333333334,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.65,450.0,0.5,8.96,5.98,5.8,0.5,25.0,75.6,273.15,frisbee,qwen25_1b_standard
23,['smooth'],[],['plastic'],"['field', 'golf course', 'park']",[],[],['circular'],2.54,25.4,254.0,10.0,2.54,0.26,25.4,254.6,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.43,45.0,0.36,2.5,2.5,4.5,2.5,23.5,72.0,273.15,frisbee,qwen25_1b_standard
24,['smooth'],[],['plastic'],"['beach', 'garden', 'indoor', 'park', 'yard']",[],"['black', 'blue', 'green', 'red', 'yellow']",['round'],0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,0.94,0.254,25.4,254.0,10.0,2.54,0.345,258.9,12.3,2.45,3.75,3.5,3.0,25.0,75.0,273.15,frisbee,qwen25_1b_standard
25,['smooth'],[],['nylon'],"['backyard', 'field', 'gymnasium']",[],"['blue', 'green', 'red', 'yellow']",['circle'],0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.54,25.4,254.0,10.0,2.54,4.28,125.36,8.6,8.93,3.5,15.98,3.5,23.5,64.8,274.15,frisbee,qwen25_1b_standard
26,"['smooth', 'soft']",[],['plastic'],"['garden', 'indoor', 'park', 'playground', 'schoolhouse']",[],"['blue', 'green', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.6,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.5,258.6,0.25,1.529387469,5.0,5.9,,23.5,72.5,278.15,frisbee,qwen25_1b_standard
27,"['bumpy', 'rubbery', 'smooth']",[],"['leather', 'plastic']","['indoor', 'outdoor', 'park', 'playground']",[],[],"['circle', 'ellipse']",0.254,25.4,254.0,10.0,0.254,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,0.94,0.589,250.0,0.65,3.25,5.25,3.5,2.5,25.5,68.9,273.15,frisbee,qwen25_1b_standard
28,['smooth'],[],['plastic'],"['backyard', 'golf course', 'park']",[],"['blue', 'green', 'red', 'yellow']",['round'],0.254,25.4,254.0,10.0,0.8333333333333334,0.254,25.4,254.0,10.0,2.54,0.26,25.4,254.0,10.0,2.54,0.42,456.8,0.48365,3.5,3.56,4.5,1.25,24.5,72.5,273.15,frisbee,qwen25_1b_standard
29,['soft'],[],['plastic'],"['beach', 'park', 'playground', 'schoolyard']",[],"['blue', 'green', 'red', 'white', 'yellow']","['oval', 'round']",2.54,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.264,25.4,254.0,10.0,2.54,0.3495,254.967,2.4,2.85,4.5,5.93,5.74,25.0,75.0,286.5,frisbee,qwen25_1b_standard
30,"['bumpy', 'smooth']",[],['plastic'],"['field', 'gymnasium', 'indoor', 'park']",[],"['blue', 'green', 'red', 'yellow']",['round'],2.54,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54836,0.254,25.4,254.0,10.0,2.54,3.2,375.0,1.75,7.5,5.25,5.43,2.5,27.8,75.86,23.5,frisbee,qwen25_1b_standard
31,"['bumpy', 'smooth']",[],['plastic'],"['backyard', 'golf course', 'indoor', 'park', 'playground']",[],"['blue', 'green', 'white', 'yellow']","['circle', 'regular pentagon', 'triangle']",0.26,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.54,25.4,254.0,10.0,2.54,2.5,156.9,0.53492,2.8,25.7,6.5,5.98,23.5,72.5,273.15,frisbee,qwen25_1b_standard
32,['smooth'],[],"['plastic', 'rubber']",['schoolyard'],['stable'],[],"['circle', 'ellipse', 'oval']",0.254,25.4,254.0,10.0,2.54,2.54,25.4,254.0,10.0,2.648,0.254,25.4,254.0,10.0,2.54,0.6534827,46.85,4.5,8.2,20.5,3.95,2.5,20.5,72.0,273.15,frisbee,qwen25_1b_standard
33,"['rubbery', 'smooth']",[],['plastic'],"['golf course', 'park', 'playground', 'schoolyard']",[],[],"['circle', 'square', 'triangle']",0.254,25.4,254.0,10.0,0.2548,0.26,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.24,54.9,3.5,5.67,2.5,2.5,5.89,25.0,70.0,275.15,frisbee,qwen25_1b_standard
34,['smooth'],[],"['plastic', 'rubber']","['football field', 'gymnasium', 'parking lot', 'schoolyard', 'stadium']",[],"['blue', 'green', 'red', 'yellow']",['round'],0.254,25.4,254.0,10.0,0.8333333333333334,0.254,25.4,254.0,2.54,2.54,0.254,25.4,254.0,10.0,2.54,0.45,45.32,0.32,2.5,5.98,25.0,6.5,25.0,75.0,273.15,frisbee,qwen25_1b_standard
35,"['bumpy', 'smooth']",,['plastic'],"['backyard', 'gymnasium', 'indoor', 'park', 'playground', 'schoolhouse']",[],[],['round'],0.253974,25.4,254.0,10.0,0.95,0.254,25.4,254.6,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.85,25.4,4.5,2.4,25.98,3.25,2.5,27.5,72.8,273.15,frisbee,qwen25_1b_standard
36,['smooth'],[],"['plastic', 'rubber']","['backyard', 'field', 'golf course', 'park', 'playground', 'schoolhouse']",[],[],['circular'],2.54,25.4,254.0,10.0,2.54,0.26,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.35,250.0,2.6,3.45,5.0,3.5,5.8,25.8,68.0,25.0,frisbee,qwen25_1b_standard
37,"['bumpy', 'smooth']",[],[],"['backyard', 'garden', 'parking lot', 'playground']",[],[],"['oval', 'square', 'triangle']",0.254,25.4,254.0,2.54,2.54,0.254,25.4,254.0,2.54,2.54,2.54,25.4,254.0,10.0,2.54,0.25,45.0,7.5,2.64,8.5,2.5,0.35,23.5,75.0,287.5,frisbee,qwen25_1b_standard
38,"['bumpy', 'smooth']",[],['plastic'],"['beach', 'golf course', 'park', 'parking lot', 'playground', 'schoolhouse']",[],"['black', 'blue', 'green', 'red', 'yellow']",['square'],0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,2.5,54.8,0.6975,2.4,3.5,3.49,2.5,20.5,72.6,253.15,frisbee,qwen25_1b_standard
39,"['smooth', 'soft']",[],"['plastic', 'rubber']",['field'],[],"['blue', 'green', 'red', 'yellow']",['round'],0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.254,25.4,254.0,10.0,2.54,0.2857,259.0,2.45,2.9,1.5,2.5,0.5,23.5,70.0,273.15,frisbee,qwen25_1b_standard
40,['metallic'],[],"['metal', 'plastic', 'steel']","['parking lot', 'residential neighborhood', 'sidewalk', 'street']",[],"['blue', 'green', 'red']",['square'],0.64,125.0,300.0,14.0,1.5,1.5,230.1,800.0,16.0,12.0,1.3,81.0,750.0,40.25,4.0,12.5,123456.789,30.75,5.0,10.75,25.0,15.0,15.0,70.0,273.15,fire hydrant,qwen25_1b_standard
41,[],[],"['metal', 'plastic', 'steel']",['schoolhouse'],[],"['black', 'blue', 'red']","['rectangle', 'round']",0.35,70.5,60.0,65.0,1.5,0.9,60.5,203.2,15.0,10.5,1.2,100.0,600.0,16.5,5.5,42.0,4500.0,18.5,1.0,150.64,50.93,1.0,20.0,125.0,273.15,fire hydrant,qwen25_1b_standard
42,['smooth'],[],"['metal', 'plastic', 'stone']","['residential neighborhood', 'schoolhouse']",['public'],"['blue', 'red']",['round'],0.75,60.0,630.0,15.7,12.0,1.5,100.0,250.0,18.0,10.0,0.9,300.0,605.38,24.0,10.5,18.5,5000.0,25.0,12.0,370.68,80.5,35.2,20.0,70.0,298.15,fire hydrant,qwen25_1b_standard
43,['metallic'],[],"['metal', 'plastic', 'stone']",['apartment building'],[],"['black', 'red', 'seal brown', 'white']",['round'],0.34,105.0,600.0,4.0,2.0,0.9,130.4,250.0,40.0,6.5,1.5,84.0,750.0,12.5,1.5,25.0,6500.0,20.0,500.0,35.0,13.5,5.0,20.5,70.0,273.15,fire hydrant,qwen25_1b_standard
44,['metallic'],[],"['aluminium', 'metal', 'plastic', 'stone']","['parking lot', 'street']",[],"['black', 'green', 'red']",['round'],0.533,150.0,80.0,30.48,10.5,0.95,105.0,480.1,10.5,10.0,0.9,700.0,600.0,86.0,2.5,5.0,520.0,40.0,12.0,50.87,4.95,25.0,23.0,70.0,273.15,fire hydrant,qwen25_1b_standard
45,[],[],"['aluminium', 'metal', 'plastic']",[],[],"['blue', 'green', 'red']","['oval', 'round']",0.4,30.0,40.0,26.95,2.0,1.3,120.0,1200.0,24.0,15.0,0.5,60.0,250.0,15.0,14.5,10.5,1250.0,42.0,12.0,15.48,0.0,13.5,25.0,68.0,273.15,fire hydrant,qwen25_1b_standard
46,[],[],"['aluminium', 'metal', 'plastic']",[],[],"['blue', 'green', 'red']",['rectangle'],0.56,250.0,500.0,34.0,2.0,1.2,59.0,205.0,23.4,16.0,0.95,40.5,240.0,12.0,6.0,23.5,2500.0,50.0,10.0,5.0,35.75,30.4,20.5,70.0,273.15,fire hydrant,qwen25_1b_standard
47,['metallic'],[],"['aluminium', 'glass', 'metal', 'plastic']","['hospital', 'schoolhouse']",['heavy'],"['blue', 'green', 'red']","['cylindrical', 'rectangle']",0.25,230.0,500.0,18.0,1.5,0.56,100.0,300.0,24.0,5.0,1.5,50.0,150.0,30.0,16.0,12.5,2500.0,10.5,15.6,50.74,20.43,1.5,0.63,70.0,273.15,fire hydrant,qwen25_1b_standard
48,"['metallic', 'rough', 'smooth']",[],"['aluminium', 'plastic', 'steel']","['office', 'parking lot']",[],"['black', 'green', 'red', 'yellow']",['cylinder'],0.5,60.0,107.0,10.5,1.5,0.85,80.0,150.0,12.0,10.5,1.5,108.5,600.0,10.0,21.0,52.6,1500.0,12.5,16.0,65.79,35.27,10.5,20.5,80.0,273.15,fire hydrant,qwen25_1b_standard
49,[],[],"['metal', 'plastic']",[],[],"['blue', 'green', 'red', 'white']",['round'],0.67,75.0,100.5,36.0,1.0,0.83,85.0,590.0,1.328,10.5,0.6,30.0,300.0,24.0,4.5,45.8,1000.0,15.0,523.0,50.92,12.5,10.5,15.0,70.0,273.15,fire hydrant,qwen25_1b_standard
