,concept,model_name,mean_area_error_feet,mean_area_error_centimeters,mean_area_error_millimeters,mean_area_error_inches,mean_area_error_meters
0,cell phone,phi3mini_4k_instruct_q4,1.6149574525911636,19.35670119047619,25.080291666666668,0.9704021336966191,0.8895232142857145
1,cell phone,qwen25_7b_standard,41.1381645714287,13.56361607142857,7.943229166666667,5.972549418928569,58.15178571428571
2,cell phone,llava_7b_standard,24048.96992192308,66.17681186885962,17.402136846904764,7.75642401974979,323347.5462962963
3,cell phone,qwen25_1b_standard,26211.144000024804,338.47828690476183,10.860844360119046,2.185352611583702,10570744.30075188
4,cell phone,llama31_8b_standard,4199.95351839894,37.24460773809523,32.11963651260504,30.810862371841914,2578.587507142857
5,cell phone,llama_30b_standard,44038.162946226614,2399.358349762896,4.386873087177182,56.338507777071904,10101919891.73655
6,bowl,phi3mini_4k_instruct_q4,13.749930758144004,0.34579124579124576,1.767407407407407,1.22029877247138,1.9696969696969693
7,bowl,qwen25_7b_standard,0.2372566574545453,0.5676498316498316,0.6480942760942761,0.6255142061252525,0.7575757575757575
8,bowl,llava_7b_standard,5.206056045346015,0.6291465993265993,0.5317465564738292,0.8880596655592965,3.780370982552799
9,bowl,qwen25_1b_standard,26.182481299193313,0.49236228956228956,0.9196879321212121,0.7651514131107341,0.4508118221952862
10,bowl,llama31_8b_standard,12.543789135862204,0.3267786192592592,0.31167227833894495,0.45951488644807026,1.1825364758698091
11,bowl,llama_30b_standard,537.4037548110612,0.8107280808080809,0.9760228571428573,1.9318211578660676,6074.678381991341
12,backpack,phi3mini_4k_instruct_q4,,,,,
13,backpack,qwen25_7b_standard,,,,,
14,backpack,llava_7b_standard,,,,,
15,backpack,qwen25_1b_standard,,,,,
16,backpack,llama31_8b_standard,,,,,
17,backpack,llama_30b_standard,,,,,
18,couch,phi3mini_4k_instruct_q4,0.8681252960000003,0.7113960120493827,0.7455393827160494,0.5043017866130368,0.3865185185185186
19,couch,qwen25_7b_standard,1.1048855966720006,0.18377777777777776,0.3730370370370371,0.29142216123733305,0.5006419753086419
20,couch,llava_7b_standard,3.8108725120474087,0.61662972345679,11.737600975946501,0.5226201915315034,0.44484126984126965
21,couch,qwen25_1b_standard,71.42028272043521,1.5157296112979102,0.8838713580246914,0.8634464743023408,0.7504783950617284
22,couch,llama31_8b_standard,44.68945921014615,0.5307849252761535,0.417379077322937,0.4476842157368887,8.102316049382717
23,couch,llama_30b_standard,3.763534897246479,0.8729131614814815,10.525008243933389,0.6448861109084224,0.6373218973359323
24,cat,phi3mini_4k_instruct_q4,,,,,
25,cat,qwen25_7b_standard,,,,,
26,cat,llava_7b_standard,,,,,
27,cat,qwen25_1b_standard,,,,,
28,cat,llama31_8b_standard,,,,,
29,cat,llama_30b_standard,,,,,
30,tie,phi3mini_4k_instruct_q4,9.601591843494152,220.84006638521873,86.92213706759502,91.949432770605,5.163493717711947
31,tie,qwen25_7b_standard,138.44372237343933,309.76161392077927,22.808991620821935,379.16682683125134,3386.713705362507
32,tie,llava_7b_standard,1719.6849871124398,89.16149731823462,159266.06484023397,168.46702130715923,317.8307908974379
33,tie,qwen25_1b_standard,43233.72501324616,118.35022896753665,0.9436964695133707,15.75707157656202,1566550.1351518494
34,tie,llama31_8b_standard,411.3813210584087,298.81286477488663,15.554912770536207,206.0709058944821,7369.875720500351
35,tie,llama_30b_standard,169536958.2298932,88.87116754409617,20703.008063233592,37.77281324306738,2408.6416610427027
36,knife,phi3mini_4k_instruct_q4,0.5130559545343993,17.40373333333333,6.256026666666667,20.521109301781333,0.8087733333333332
