model,concept,domain,dimension,measurement,avg_mean,avg_std
llama2_7b_chat,TV,size,height,centimeters,35.36,4.2645910521532135
llama2_7b_chat,TV,size,height,feet,31.725,0.9101041004655517
llama2_7b_chat,TV,size,height,inches,30.68421052631579,2.9401933341372737
llama2_7b_chat,TV,size,height,meters,1.465,0.23680993933621336
llama2_7b_chat,TV,size,height,millimeters,254.58499999999998,173.1591518471405
llama2_7b_chat,TV,size,length,centimeters,33.13,2.8875595231960154
llama2_7b_chat,TV,size,length,feet,31.925,1.3206358117847716
llama2_7b_chat,TV,size,length,inches,27.9,4.68929351653429
llama2_7b_chat,TV,size,length,meters,31.9,16.037456157383563
llama2_7b_chat,TV,size,length,millimeters,311.0,20.493901531919196
llama2_7b_chat,TV,size,width,centimeters,35.125,3.3790180759940807
llama2_7b_chat,TV,size,width,feet,33.0,2.5546654946340204
llama2_7b_chat,TV,size,width,inches,30.0,3.554093266554554
llama2_7b_chat,TV,size,width,meters,36.425,21.876612722506344
llama2_7b_chat,TV,size,width,millimeters,244.0,177.58615403590213
llama2_7b_chat,TV,temperature,temperature,celsius,20.685,0.8209590027586796
llama2_7b_chat,TV,temperature,temperature,fahrenheit,72.045,1.262610078577832
llama2_7b_chat,TV,temperature,temperature,kelvin,121.31842105263156,134.84310451876027
llama2_7b_chat,TV,value,monetary_value,US dollars,309.89700000000005,123.87821447738611
llama2_7b_chat,TV,value,monetary_value,euros,192.5,100.3611898148514
llama2_7b_chat,TV,value,monetary_value,pounds,116.571,97.15338441974383
llama2_7b_chat,TV,weight,weight,grams,293.5335,371.1688401774645
llama2_7b_chat,TV,weight,weight,kilograms,5.575,1.5241477342401797
llama2_7b_chat,TV,weight,weight,ounces,8.525,2.6179290730611755
llama2_7b_chat,TV,weight,weight,pounds,11.85,10.733739231728004
llama2_7b_chat,airplane,size,height,centimeters,116.98499999999999,101.50443741920584
llama2_7b_chat,airplane,size,height,feet,63.67999999999999,28.206859934569483
