model,concept,domain,ctx_true_mean,ctx_true_std,runs
deepseek-r1-distill-llama-70b,TV,Disposition,0.0,,1
deepseek-r1-distill-llama-70b,TV,colour,0.8,0.41039134083406165,20
deepseek-r1-distill-llama-70b,TV,context,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,TV,disposition,0.3684210526315789,0.49559462778335206,19
deepseek-r1-distill-llama-70b,TV,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,TV,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,TV,material,0.75,0.44426165831931935,20
deepseek-r1-distill-llama-70b,TV,pattern,0.0,0.0,20
deepseek-r1-distill-llama-70b,TV,scenario,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,TV,shape,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,TV,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,TV,temperature,0.1,0.30779350562554625,20
deepseek-r1-distill-llama-70b,TV,texture,0.45,0.5104177855340404,20
deepseek-r1-distill-llama-70b,TV,value,1.0,0.0,20
deepseek-r1-distill-llama-70b,TV,weight,0.6,0.5026246899500346,20
deepseek-r1-distill-llama-70b,airplane,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,context,0.8,0.41039134083406165,20
deepseek-r1-distill-llama-70b,airplane,disposition,0.1,0.3077935056255462,20
deepseek-r1-distill-llama-70b,airplane,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,pattern,0.2,0.41039134083406165,20
deepseek-r1-distill-llama-70b,airplane,scenario,0.75,0.4442616583193192,20
deepseek-r1-distill-llama-70b,airplane,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,airplane,temperature,0.1,0.3077935056255462,20
deepseek-r1-distill-llama-70b,airplane,texture,0.1,0.3077935056255462,20
deepseek-r1-distill-llama-70b,airplane,value,0.85,0.36634754853252316,20
deepseek-r1-distill-llama-70b,airplane,weight,1.0,0.0,20
deepseek-r1-distill-llama-70b,apple,Disposition,0.0,,1
deepseek-r1-distill-llama-70b,apple,colour,1.0,0.0,18
deepseek-r1-distill-llama-70b,apple,context,0.6666666666666666,0.48507125007266594,18
deepseek-r1-distill-llama-70b,apple,disposition,0.11764705882352941,0.3321055820775357,17
deepseek-r1-distill-llama-70b,apple,function,0.7777777777777778,0.4277926319464986,18
deepseek-r1-distill-llama-70b,apple,location,0.9444444444444444,0.2357022603955158,18
deepseek-r1-distill-llama-70b,apple,material,0.7777777777777778,0.42779263194649864,18
deepseek-r1-distill-llama-70b,apple,pattern,0.0,0.0,18
deepseek-r1-distill-llama-70b,apple,scenario,0.5,0.5144957554275266,18
deepseek-r1-distill-llama-70b,apple,shape,1.0,0.0,18
deepseek-r1-distill-llama-70b,apple,size,1.0,0.0,18
deepseek-r1-distill-llama-70b,apple,temperature,0.4444444444444444,0.5113099925649136,18
deepseek-r1-distill-llama-70b,apple,texture,1.0,0.0,18
deepseek-r1-distill-llama-70b,apple,value,0.7777777777777778,0.42779263194649864,18
deepseek-r1-distill-llama-70b,apple,weight,0.7777777777777778,0.42779263194649864,18
deepseek-r1-distill-llama-70b,backpack,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,context,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,disposition,0.2631578947368421,0.4524139283588641,19
deepseek-r1-distill-llama-70b,backpack,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,location,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,backpack,material,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,pattern,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,scenario,0.9473684210526315,0.22941573387056174,19
deepseek-r1-distill-llama-70b,backpack,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,temperature,0.05263157894736842,0.22941573387056177,19
deepseek-r1-distill-llama-70b,backpack,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,backpack,value,0.7894736842105263,0.4188539082916955,19
deepseek-r1-distill-llama-70b,backpack,weight,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,context,0.8421052631578947,0.3746343246326775,19
deepseek-r1-distill-llama-70b,banana,disposition,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,banana,function,0.8947368421052632,0.3153017676423057,19
deepseek-r1-distill-llama-70b,banana,location,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,material,0.8421052631578947,0.3746343246326775,19
deepseek-r1-distill-llama-70b,banana,pattern,0.5789473684210527,0.5072572735017881,19
