model,concept,domain,dimension,measurement,min_mean,min_std,max_mean,max_std
llama2_7b_chat,airplane,size,height,centimeters,145.0,201.24611797498108,2575.0,2773.3458796949676
llama2_7b_chat,airplane,size,height,feet,50.0,0.0,190.0,30.779350562554626
llama2_7b_chat,airplane,size,height,inches,7.100499999999999,7.9221810360797145,86.5,32.971279367927096
llama2_7b_chat,airplane,size,height,meters,112.5,210.18475581960593,3170.0,5026.780909865624
llama2_7b_chat,airplane,size,height,millimeters,900.0,205.19567041703084,9250.0,1831.737742662616
llama2_7b_chat,airplane,size,length,centimeters,86.5,32.971279367927096,2325.0,2243.5580294654624
llama2_7b_chat,airplane,size,length,feet,50.0,0.0,175.0,44.426165831931925
llama2_7b_chat,airplane,size,length,inches,7.055,7.272332211159888,93.5,38.289066736849925
llama2_7b_chat,airplane,size,length,meters,60.0,20.51956704170308,2470.0,3517.3405024999092
llama2_7b_chat,airplane,size,length,millimeters,1450.0,2012.4611797498108,24000.0,30070.093553492472
llama2_7b_chat,airplane,size,width,centimeters,91.0,27.70141550629916,3985.0,3329.9715503763377
llama2_7b_chat,airplane,size,width,feet,52.5,11.18033988749895,190.0,30.77935056255462
llama2_7b_chat,airplane,size,width,inches,5.0405,6.03475589267789,145.0,203.19811437169028
llama2_7b_chat,airplane,size,width,meters,80.0,25.13123449750173,3845.0,4637.657643795263
llama2_7b_chat,airplane,size,width,millimeters,955.0,201.24611797498108,15525.0,22040.318915449858
llama2_7b_chat,airplane,temperature,temperature,celsius,-9.0,17.74082416646034,45.0,7.608859102526821
llama2_7b_chat,airplane,temperature,temperature,fahrenheit,21.4,13.873109164665895,116.0,10.46296727561194
llama2_7b_chat,airplane,temperature,temperature,kelvin,-18.685000000000002,143.34119408269427,153.9575,139.17340308047366
llama2_7b_chat,airplane,value,monetary_value,US dollars,5107.5,15353.48644616693,51875.0,153277.2578145822
llama2_7b_chat,airplane,value,monetary_value,euros,280.0,204.16711421361617,5250.0,3274.703682858392
llama2_7b_chat,airplane,value,monetary_value,pounds,92.5,46.66510022433647,4450.0,3612.478373637688
llama2_7b_chat,airplane,weight,weight,grams,88.005,30.523855640431382,11280.0,16749.69284871564
llama2_7b_chat,airplane,weight,weight,kilograms,50.0,0.0,267.5,162.44432244537464
llama2_7b_chat,airplane,weight,weight,ounces,24.025,33.60469696180486,5605.0,15341.926558497005
llama2_7b_chat,airplane,weight,weight,pounds,50.0,0.0,192.5,143.52241710104497
llama2_7b_chat,apple,size,height,centimeters,5.75,1.0942433098048308,19.75,2.552088927670201
llama2_7b_chat,apple,size,height,feet,0.55,0.22360679774997894,4.375,2.841770204421329
llama2_7b_chat,apple,size,height,inches,1.2,0.8013147091860318,3.875,0.9579995604877576
llama2_7b_chat,apple,size,height,meters,1.21105,2.539035860840012,8.75,5.227709571927371
llama2_7b_chat,apple,size,height,millimeters,50.0,0.0,200.0,0.0
llama2_7b_chat,apple,size,length,centimeters,5.7,1.005249379900069,17.35,3.2326459750489227
llama2_7b_chat,apple,size,length,feet,0.65,0.3663475485325232,4.775,2.672840988044074
llama2_7b_chat,apple,size,length,inches,1.1,0.5026246899500346,4.175,1.506782909659552
llama2_7b_chat,apple,size,length,meters,0.6769999999999999,2.2026756456637004,25.025,46.772257578049064
llama2_7b_chat,apple,size,length,millimeters,53.0,7.326950970650464,201.5,26.011131220468304
llama2_7b_chat,apple,size,width,centimeters,8.45,14.493101807411687,25.5,29.375069988718415
llama2_7b_chat,apple,size,width,feet,0.6,0.3077935056255463,5.15,3.0439759318503508
llama2_7b_chat,apple,size,width,inches,1.3,0.7677718959499146,4.3,1.9221698265515623
llama2_7b_chat,apple,size,width,meters,1.1515,2.5606460430709155,18.325,22.307819610833185
llama2_7b_chat,apple,size,width,millimeters,53.5,7.451598203705948,190.0,26.157418189029848
llama2_7b_chat,apple,temperature,temperature,celsius,0.0,0.0,29.75,1.1180339887498945
llama2_7b_chat,apple,temperature,temperature,fahrenheit,32.0,0.0,97.5,5.266577836248425
llama2_7b_chat,apple,temperature,temperature,kelvin,-1.0,4.472135954999579,80.5,27.620549177054848
llama2_7b_chat,apple,value,monetary_value,US dollars,1.19,0.6155870112510925,4.7905,2.7077286558450075
