,condition,model,concept,domain,dimension,unit
0,avg,llama2_7b_chat,person,colour,,
1,avg,llama2_7b_chat,person,shape,,
2,avg,llama2_7b_chat,person,location,,
3,avg,llama2_7b_chat,person,texture,,
4,avg,llama2_7b_chat,person,material,,
5,avg,llama2_7b_chat,person,scenario,,
6,avg,llama2_7b_chat,person,pattern,,
7,avg,llama2_7b_chat,person,context,,
8,avg,llama2_7b_chat,person,disposition,,
9,avg,llama2_7b_chat,person,function,,
10,avg,llama2_7b_chat,bicycle,colour,,
11,avg,llama2_7b_chat,bicycle,shape,,
12,avg,llama2_7b_chat,bicycle,location,,
13,avg,llama2_7b_chat,bicycle,texture,,
14,avg,llama2_7b_chat,bicycle,material,,
15,avg,llama2_7b_chat,bicycle,scenario,,
16,avg,llama2_7b_chat,bicycle,pattern,,
17,avg,llama2_7b_chat,bicycle,context,,
18,avg,llama2_7b_chat,bicycle,disposition,,
19,avg,llama2_7b_chat,bicycle,function,,
20,avg,llama2_7b_chat,car,colour,,
21,avg,llama2_7b_chat,car,shape,,
22,avg,llama2_7b_chat,car,location,,
23,avg,llama2_7b_chat,car,texture,,
24,avg,llama2_7b_chat,car,material,,
25,avg,llama2_7b_chat,car,scenario,,
26,avg,llama2_7b_chat,car,pattern,,
27,avg,llama2_7b_chat,car,context,,
28,avg,llama2_7b_chat,car,disposition,,
29,avg,llama2_7b_chat,car,function,,
30,avg,llama2_7b_chat,motorcycle,colour,,
31,avg,llama2_7b_chat,motorcycle,shape,,
32,avg,llama2_7b_chat,motorcycle,location,,
33,avg,llama2_7b_chat,motorcycle,texture,,
34,avg,llama2_7b_chat,motorcycle,material,,
35,avg,llama2_7b_chat,motorcycle,scenario,,
36,avg,llama2_7b_chat,motorcycle,pattern,,
37,avg,llama2_7b_chat,motorcycle,context,,
38,avg,llama2_7b_chat,motorcycle,disposition,,
39,avg,llama2_7b_chat,motorcycle,function,,
40,avg,llama2_7b_chat,airplane,colour,,
41,avg,llama2_7b_chat,airplane,shape,,
42,avg,llama2_7b_chat,airplane,location,,
43,avg,llama2_7b_chat,airplane,texture,,
44,avg,llama2_7b_chat,airplane,material,,
45,avg,llama2_7b_chat,airplane,scenario,,
46,avg,llama2_7b_chat,airplane,pattern,,
47,avg,llama2_7b_chat,airplane,context,,
48,avg,llama2_7b_chat,airplane,disposition,,
49,avg,llama2_7b_chat,airplane,function,,
50,avg,llama2_7b_chat,bus,colour,,
51,avg,llama2_7b_chat,bus,shape,,
52,avg,llama2_7b_chat,bus,location,,
53,avg,llama2_7b_chat,bus,texture,,
54,avg,llama2_7b_chat,bus,material,,
55,avg,llama2_7b_chat,bus,scenario,,
56,avg,llama2_7b_chat,bus,pattern,,
57,avg,llama2_7b_chat,bus,context,,
58,avg,llama2_7b_chat,bus,disposition,,
59,avg,llama2_7b_chat,bus,function,,
60,avg,llama2_7b_chat,train,colour,,
61,avg,llama2_7b_chat,train,shape,,
62,avg,llama2_7b_chat,train,location,,
63,avg,llama2_7b_chat,train,texture,,
64,avg,llama2_7b_chat,train,material,,
65,avg,llama2_7b_chat,train,scenario,,
66,avg,llama2_7b_chat,train,pattern,,
67,avg,llama2_7b_chat,train,context,,
68,avg,llama2_7b_chat,train,disposition,,
69,avg,llama2_7b_chat,train,function,,
70,avg,llama2_7b_chat,truck,colour,,
71,avg,llama2_7b_chat,truck,shape,,
72,avg,llama2_7b_chat,truck,location,,
73,avg,llama2_7b_chat,truck,texture,,
74,avg,llama2_7b_chat,truck,material,,
75,avg,llama2_7b_chat,truck,scenario,,
76,avg,llama2_7b_chat,truck,pattern,,
77,avg,llama2_7b_chat,truck,context,,
78,avg,llama2_7b_chat,truck,disposition,,
79,avg,llama2_7b_chat,truck,function,,
80,avg,llama2_7b_chat,boat,colour,,
81,avg,llama2_7b_chat,boat,shape,,
82,avg,llama2_7b_chat,boat,location,,
83,avg,llama2_7b_chat,boat,texture,,
84,avg,llama2_7b_chat,boat,material,,
85,avg,llama2_7b_chat,boat,scenario,,
86,avg,llama2_7b_chat,boat,pattern,,
87,avg,llama2_7b_chat,boat,context,,
88,avg,llama2_7b_chat,boat,disposition,,
89,avg,llama2_7b_chat,boat,function,,
90,avg,llama2_7b_chat,traffic light,colour,,
91,avg,llama2_7b_chat,traffic light,shape,,
92,avg,llama2_7b_chat,traffic light,location,,
93,avg,llama2_7b_chat,traffic light,texture,,
94,avg,llama2_7b_chat,traffic light,material,,
95,avg,llama2_7b_chat,traffic light,scenario,,
96,avg,llama2_7b_chat,traffic light,pattern,,
