,colour,pattern,disposition,material,texture,location,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
0,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['airfield', 'campus', 'food court', 'grocery', 'hotel', 'pizzeria', 'restaurant', 'stadium', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'square']",0.5,25.0,300.0,12.5,2.5,0.3,15.0,300.0,12.5,1.0,0.15,30.0,460.0,12.5,1.5,0.22,250.0,0.75,12.0,3.5,8.5,0.75,26.0,350.0,293.15,pizza,phi3mini_4k_instruct_q4
1,"['black', 'green', 'orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['cafeteria', 'festival', 'grocery', 'home', 'pizzeria', 'restaurant', 'store', 'street']","['oval', 'rectangle', 'round']",0.3,30.0,360.0,14.0,2.5,0.3,15.0,300.0,12.0,1.5,0.6,25.0,400.0,14.0,1.5,0.2,300.0,0.5,14.0,1.99,5.5,0.5,22.0,400.0,293.15,pizza,phi3mini_4k_instruct_q4
2,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],['water'],['soft'],"['coffee shop', 'festival', 'mall', 'pizzeria', 'restaurant', 'shop', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'wheel']",0.75,25.0,330.0,12.0,2.5,0.05,30.0,300.0,12.0,1.0,0.25,30.0,280.0,12.0,1.0,0.26,250.0,0.5,12.5,2.5,8.0,0.75,26.67,250.0,295.25,pizza,phi3mini_4k_instruct_q4
3,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['bakery', 'cafeteria', 'festival', 'pizzeria', 'restaurant', 'schoolhouse', 'store', 'supermarket']","['rectangle', 'round', 'square', 'triangle']",0.5,25.0,400.0,14.0,1.5,0.1,15.0,300.0,12.5,1.0,0.3,30.0,460.0,14.0,2.2,0.28,250.0,0.5,12.0,1.0,6.5,0.5,75.0,350.0,298.15,pizza,phi3mini_4k_instruct_q4
4,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],"['smooth', 'soft']","['home', 'office', 'pizzeria', 'restaurant']","['circle', 'oval', 'rectangle', 'wheel']",0.5,25.0,260.0,14.0,2.5,0.1,15.0,300.0,12.5,1.0,0.6,25.0,300.0,12.0,2.5,0.2,250.0,0.5,12.5,1.99,8.5,0.5,175.0,275.0,295.25,pizza,phi3mini_4k_instruct_q4
5,"['black', 'cream', 'orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['counter', 'grocery', 'hotel', 'pizzeria', 'restaurant', 'schoolhouse', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'square']",0.5,25.0,432.0,12.0,2.5,0.08,15.0,300.0,12.0,1.5,0.3,28.274333882308138,460.0,14.0,1.5,0.28,250.0,0.75,12.0,15.99,6.5,0.5,26.0,375.0,303.15,pizza,phi3mini_4k_instruct_q4
6,"['orange', 'red', 'white', 'yellow']",[],[],[],['soft'],"['campus', 'grocery', 'pizzeria', 'restaurant', 'schoolhouse', 'stadium', 'store', 'street', 'supermarket']","['circle', 'rectangle', 'wheel']",0.3,25.0,460.0,14.0,1.5,0.2,15.0,300.0,12.0,1.5,0.3,30.0,250.0,14.0,2.5,0.2,250.0,0.5,14.0,1.0,10.0,0.5,30.0,350.0,293.15,pizza,phi3mini_4k_instruct_q4
7,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],['water'],['soft'],"['cafeteria', 'coffee shop', 'home', 'pizzeria', 'restaurant', 'schoolhouse', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'triangle']",0.22,30.0,360.0,14.0,2.5,0.1,15.0,300.0,14.0,1.0,0.5,30.0,460.0,14.0,2.5,0.26,250.0,0.23,12.5,2.5,6.5,0.83,26.0,375.0,293.15,pizza,phi3mini_4k_instruct_q4
8,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],[],"['bar', 'festival', 'grocery', 'office', 'pizzeria', 'restaurant', 'store']","['circle', 'oval', 'rectangle', 'square']",0.3,30.0,250.0,12.0,2.5,0.3,15.0,300.0,12.0,1.0,0.3,25.0,460.0,14.0,1.5,0.22,250.0,0.5,12.5,14.99,6.5,0.75,26.0,400.0,293.15,pizza,phi3mini_4k_instruct_q4
9,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],"['smooth', 'soft']","['cafeteria', 'grocery', 'home', 'kitchen', 'pizzeria', 'restaurant', 'store', 'supermarket']","['circle', 'rectangle', 'triangle', 'wheel']",0.5,30.0,360.0,12.0,2.5,0.1,15.0,300.0,12.0,1.0,0.2,25.0,230.0,12.0,1.5,0.22,250.0,0.5,12.0,15.99,6.5,0.5,27.0,375.0,298.15,pizza,phi3mini_4k_instruct_q4
