model,emotion,definition_1,definition_2,dimension,mean_def1,mean_def2,diff,t_stat,p_val,significant
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,activity,0.4025,0.32999999999999996,0.07250000000000006,9.3522,0.0,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,arousal,0.4,0.2475,0.15250000000000002,19.0711,0.0,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,dominance,0.20000000000000004,0.20000000000000004,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,evaluation,0.5,0.755,-0.255,-32.0099,0.0,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,pleasure,0.5,0.6799999999999998,-0.17999999999999983,-13.0767,0.0,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,potency,0.39925,0.40049999999999997,-0.0012499999999999734,-0.8637,0.3919,False
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,unpredictability,0.46699999999999997,0.4000000000000001,0.06699999999999989,7.1875,0.0,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,valence,0.5,0.7149999999999999,-0.21499999999999986,-26.2458,0.0,True
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,activity,0.6849999999999999,0.7,-0.015000000000000013,-2.6234,0.0124,True
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,arousal,0.6,0.695,-0.09499999999999997,-27.2213,0.0,True
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,dominance,0.20000000000000004,0.20000000000000004,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,evaluation,0.7025,0.79875,-0.09624999999999995,-34.4354,0.0,True
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,pleasure,0.7249999999999999,0.8000000000000002,-0.07500000000000029,-7.5498,0.0,True
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,potency,0.595,0.6074999999999999,-0.012499999999999956,-1.3868,0.1707,False
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,unpredictability,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,valence,0.78,0.8000000000000002,-0.02000000000000013,-2.1794,0.0421,True
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,activity,0.7825,0.8,-0.01750000000000007,-2.8762,0.0065,True
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,arousal,0.7924999999999999,0.8,-0.007500000000000173,-1.7782,0.0832,False
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,dominance,0.6999999999999998,0.765,-0.06500000000000017,-5.9402,0.0,True
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,evaluation,-0.8,-0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,pleasure,-0.735,-0.775,0.040000000000000036,2.7065,0.0102,True
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,potency,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,valence,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,activity,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,arousal,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,dominance,-0.5,-0.38,-0.12,-4.1879,0.0005,True
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,evaluation,0.7025,0.7050000000000001,-0.0025000000000000577,-0.2161,0.8295,False
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,pleasure,0.8000000000000002,0.77,0.030000000000000138,2.8536,0.0102,True
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,potency,0.8,0.8,0.0,,,False
