,emotion,activity_mean_mean_def1,activity_mean_mean_def2,activity_mean_pval,arousal_mean_mean_def1,arousal_mean_mean_def2,arousal_mean_pval,dominance_mean_mean_def1,dominance_mean_mean_def2,dominance_mean_pval,valence_mean_mean_def1,valence_mean_mean_def2,valence_mean_pval
0,acceptance,0.361425,0.26625,0.35503635240359477,0.300725,0.22375,0.17731785636085495,0.214625,-0.07499999999999998,0.4824247801820741,0.6803750000000001,0.7575000000000001,0.3621748996114782
1,admiration,0.5503750000000001,0.6499999999999999,0.27121213363644747,0.5621499999999999,0.6475,0.2863443894606633,-0.132875,0.2,0.061077388724018876,0.7815,0.8,0.19175806569144377
2,aggressiveness,0.745175,0.8,0.10222637913338649,0.765625,0.7987500000000001,0.34794799643172986,0.62325,0.6475,0.8725456907278143,-0.782625,-0.8,0.41238454536402813
3,amazement,0.821,0.8,0.25044018723398,0.837825,0.8,0.19294002829195425,-0.49,-0.44,0.5565852393787623,0.653125,0.75,0.31009852524944465
4,anger,0.7805,0.7987500000000001,0.31983734945848735,0.80915,0.8,0.29364015534583426,0.16425,-0.0925,0.5885405067097803,-0.78875,-0.8,0.18559570848346418
5,annoyance,0.52325,0.605,0.31541717386938106,0.560125,0.63375,0.21089375725893877,-0.360375,-0.475,0.3255363422451156,-0.6665,-0.78,0.15314968762155326
6,anticipation,0.6736,0.6499999999999999,0.7205044161721305,0.696175,0.6499999999999999,0.5243465526037205,0.21875000000000003,0.515,0.00030344484921623096,0.676625,0.5549999999999999,0.2496291242480301
7,apprehension,0.591625,0.66125,0.45261918205626456,0.6351249999999999,0.6525,0.7816644956168245,-0.54825,-0.6425,0.3300888116766775,-0.655,-0.7275,0.20127710165446674
8,awe,0.683775,0.7575000000000001,0.30797598338048393,0.73155,0.7975000000000001,0.06932319755233582,-0.480625,-0.505,0.7800367302016887,0.338125,0.7825,0.006183207660639386
9,boredom,0.2127,0.2,0.1898767598709202,0.220675,0.2,0.16429504214416282,-0.44075000000000003,-0.5,0.18171278102071337,-0.558875,-0.6599999999999999,0.16715895481659088
10,contempt,0.5226999999999999,0.69875,0.3036577138859084,0.52155,0.6499999999999999,0.24172612397582077,0.33987500000000004,0.009999999999999953,0.7151276521364289,-0.754,-0.8,0.1824507554327661
11,disappointment,0.417675,0.5175,0.4257877804653069,0.37475,0.54125,0.1924991858223013,-0.509875,-0.505,0.8843903341771677,-0.6943750000000001,-0.76,0.3153338466580536
12,disgust,0.64595,0.69625,0.650058288402932,0.652625,0.65125,0.9838230794842024,-0.408375,-0.485,0.33852476742225407,-0.8225,-0.8025,0.2229606691826746
13,distraction,0.33475,0.735,0.0029403726783123444,0.3419,0.73,0.008281287337621478,-0.46475,-0.5475000000000001,0.057633562512168876,-0.5972500000000001,-0.785,0.004920357122650359
14,ecstasy,0.83925,0.8,0.1538968037301894,0.8642500000000001,0.8,0.17885810743657787,0.417875,-0.4275,0.008539796370157476,0.9395,0.89,0.0670669968165461
15,fear,0.73525,0.70375,0.30615166789178877,0.781275,0.785,0.9283460945440647,-0.64175,-0.5974999999999999,0.7337381654144324,-0.798125,-0.8,0.8728885715695334
16,grief,0.59585,0.7012499999999999,0.23421459760670738,0.528,0.7,0.16852670812883666,-0.729625,-0.705,0.33945305330189585,-0.873375,-0.8025,0.05995944916686169
17,interest,0.5997,0.7324999999999999,0.11396313941317876,0.6138250000000001,0.7,0.017171133360563893,0.18612499999999998,0.3275,0.45189284571138477,0.5976250000000001,0.685,0.5869731072813558
18,joy,0.740175,0.7525,0.8346599808700409,0.771025,0.7575000000000001,0.5493301836611807,0.539,0.38,0.39030710038491756,0.8815,0.8,0.10696463547448175
19,loathing,0.74325,0.8,0.09430759581694019,0.747625,0.7525,0.9367331492953103,-0.181,-0.565,0.17596320775576335,-0.875625,-0.8500000000000001,0.7076459013555674
20,love,0.646425,0.67875,0.6306289996210508,0.57525,0.305,0.18814109628478,0.10675000000000001,-0.15,0.5944102798311284,0.85375,0.8,0.18237797932179917
21,optimism,0.5307999999999999,0.65125,0.24662316020779254,0.5567000000000001,0.61375,0.4698184620619148,0.49925,0.5025,0.9362470101645096,0.80325,0.8,0.8855955940037821
22,pensiveness,0.21795,0.29500000000000004,0.5655316141634628,0.25630000000000003,0.27,0.8781781501268162,-0.127,-0.08249999999999999,0.9026829818897355,-0.195,-0.265,0.32693173287376465
23,rage,0.879675,0.8,0.0650173554705808,0.8941250000000001,0.84125,0.3885431758155556,-0.29387500000000005,-0.56,0.4313398068776058,-0.8899999999999999,-0.855,0.5465796201932982
24,remorse,0.510925,0.6412500000000001,0.38745592955426206,0.480125,0.6499999999999999,0.12400507538025418,-0.5273749999999999,-0.5,0.3589307284160572,-0.752,-0.8,0.07435097123035782
25,sadness,0.32725000000000004,0.3975,0.09571104544321683,0.31437499999999996,0.3975,0.07462150806361548,-0.592375,-0.5425,0.37107366270263475,-0.7687499999999999,-0.75,0.7743600730982464
26,serenity,0.178825,0.2,0.18944266188838685,0.18232500000000001,0.15000000000000002,0.63345089034586,0.14750000000000002,0.35,0.48718406574877177,0.81175,0.8025,0.32518005646878817
27,submission,0.319125,0.21,0.022422271496787608,0.32875,0.2,0.0014144542030220257,-0.656,-0.7324999999999999,0.46558554107469974,-0.33199999999999996,-0.25,0.3906157156220375
28,surprise,0.727375,0.785,0.1569255352674543,0.76925,0.8,0.29731224329729705,-0.453125,-0.5,0.0031141841455236702,0.0475,-0.23,0.4881220749215096
29,terror,0.91195,0.84125,0.2946930472517939,0.92115,0.8987499999999999,0.27532515884688863,-0.857125,-0.8,0.18334555532134625,-0.9497499999999999,-0.8500000000000001,0.2630882693784559
30,trust,0.3291,0.34125,0.9429587575284836,0.254375,0.30125,0.7179192383574877,0.25175000000000003,0.21000000000000002,0.5249325187332978,0.7848750000000001,0.75,0.6118309508167166
31,vigilance,0.68005,0.75,0.3783996283231957,0.707875,0.7475,0.5565496548965131,0.257,0.61,0.06941450999347537,-0.248125,-0.03,0.4151244961290521
