model,emotion,definition_1,definition_2,activity_mean_mean_cambridge,activity_mean_mean_sentiwordnet,activity_mean_pval,arousal_mean_mean_cambridge,arousal_mean_mean_sentiwordnet,arousal_mean_pval,valence_mean_mean_cambridge,valence_mean_mean_sentiwordnet,valence_mean_pval,dominance_mean_mean_cambridge,dominance_mean_mean_sentiwordnet,dominance_mean_pval
groq_llama-4-maverick-17b-128e-instruct,acceptance,cambridge,sentiwordnet,0.4025,0.33,,0.4,0.2475,,0.5,0.715,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,admiration,cambridge,sentiwordnet,0.685,0.7,,0.6,0.695,,0.78,0.8,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,cambridge,sentiwordnet,0.7825,0.8,,0.7925,0.8,,-0.8,-0.8,,0.7,0.765,
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,0.8,0.8,,0.8,0.8,,0.725,0.7,,-0.5,-0.38,
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,0.8,0.8,,0.8,0.8,,-0.8,-0.8,,0.175,-0.43,
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,0.675,0.6125,,0.6075,0.6675,,-0.73,-0.76,,-0.49,-0.45,
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,0.7,0.7,,0.7,0.7,,0.7,0.61,,0.2,0.52,
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,0.6975,0.7225,,0.7,0.7,,-0.78,-0.75,,-0.5,-0.7,
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,0.7975,0.8,,0.7975,0.8,,0.51,0.765,,-0.25,-0.51,
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,0.2,0.2,,0.205,0.2,,-0.66,-0.7,,-0.5,-0.5,
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,0.7825,0.7975,,0.705,0.7,,-0.8,-0.8,,0.62,0.69,
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,0.5975,0.6,,0.4075,0.4825,,-0.735,-0.725,,-0.5,-0.51,
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,0.795,0.7725,,0.725,0.7025,,-0.8,-0.805,,-0.48,-0.47,
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,0.3975,0.77,,0.3875,0.775,,-0.64,-0.77,,-0.5,-0.535,
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,0.815,0.8,,0.8025,0.8,,0.92,0.89,,0.56,-0.355,
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,0.7,0.7025,,0.73,0.795,,-0.8,-0.8,,-0.51,-0.5,
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,0.7925,0.705,,0.7,0.7,,-0.875,-0.805,,-0.71,-0.7,
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,0.7,0.775,,0.6675,0.7,,0.53,0.57,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,0.8,0.7975,,0.7925,0.77,,0.83,0.8,,0.385,0.26,
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,0.8,0.8,,0.7725,0.8,,-0.86,-0.9,,-0.3,-0.43,
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,0.8,0.6925,,0.7925,0.41,,0.8,0.8,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,0.7,0.7025,,0.6475,0.6675,,0.8,0.8,,0.5,0.5,
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,0.205,0.39,,0.3,0.34,,-0.2,-0.225,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,rage,cambridge,sentiwordnet,0.885,0.8,,0.9,0.88,,-0.9,-0.895,,-0.765,-0.405,
groq_llama-4-maverick-17b-128e-instruct,remorse,cambridge,sentiwordnet,0.7,0.7375,,0.605,0.7,,-0.8,-0.8,,-0.47,-0.5,
groq_llama-4-maverick-17b-128e-instruct,sadness,cambridge,sentiwordnet,0.405,0.4,,0.39,0.395,,-0.8,-0.8,,-0.5,-0.515,
groq_llama-4-maverick-17b-128e-instruct,serenity,cambridge,sentiwordnet,0.2,0.2,,0.2,0.2,,0.8,0.8,,0.2,0.2,
groq_llama-4-maverick-17b-128e-instruct,submission,cambridge,sentiwordnet,0.39,0.205,,0.33,0.2,,-0.5,-0.29,,-0.52,-0.69,
groq_llama-4-maverick-17b-128e-instruct,surprise,cambridge,sentiwordnet,0.7925,0.8,,0.8,0.8,,0.19,0.04,,-0.46,-0.5,
groq_llama-4-maverick-17b-128e-instruct,terror,cambridge,sentiwordnet,0.8825,0.88,,0.885,0.9,,-0.9,-0.9,,-0.8,-0.8,
groq_llama-4-maverick-17b-128e-instruct,trust,cambridge,sentiwordnet,0.3,0.4725,,0.27,0.4,,0.775,0.7,,0.2,0.22,
groq_llama-4-maverick-17b-128e-instruct,vigilance,cambridge,sentiwordnet,0.72,0.8,,0.7175,0.795,,-0.35,-0.205,,0.5,0.7,
