model,emotion,dimension,definition_pval,std_cambridge,std_sentiwordnet,mean_cambridge,mean_sentiwordnet,significant,conf_cambridge,conf_sentiwordnet,conf_both
groq_llama-4-maverick-17b-128e-instruct,acceptance,activity,2.1943312128139763e-12,0.01561249499599599,0.04582575694955841,0.4025,0.32999999999999996,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,arousal,2.2547051188845704e-21,0.0,0.049937460888595436,0.4,0.2475,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,dominance,1.0,2.7755575615628914e-17,2.7755575615628914e-17,0.20000000000000004,0.20000000000000004,False,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,evaluation,1.302046296571887e-29,0.0,0.04974937185533104,0.5,0.755,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,pleasure,5.990444304398508e-11,0.0,0.05999999999999999,0.5,0.6799999999999998,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,potency,0.39192688616289284,0.008481597726843692,0.003122498999199193,0.39925,0.40049999999999997,False,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,unpredictability,7.91646531198743e-07,0.04063249930782009,5.551115123125783e-17,0.46699999999999997,0.4000000000000001,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,acceptance,valence,2.1674472780930586e-16,0.0,0.03570714214271428,0.5,0.7149999999999999,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,activity,0.012359142085013894,0.03570714214271425,0.0,0.6849999999999999,0.7,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,arousal,5.547810049097881e-27,0.0,0.021794494717703363,0.6,0.695,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,dominance,1.0,2.7755575615628914e-17,2.7755575615628914e-17,0.20000000000000004,0.20000000000000004,False,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,evaluation,5.245666059964764e-40,0.015612494995996012,0.007806247497998005,0.7025,0.79875,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,pleasure,3.9182110854726695e-07,0.043301270189221974,1.1102230246251565e-16,0.7249999999999999,0.8000000000000002,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,potency,0.17071158581411783,0.04974937185533099,0.02633913438213184,0.595,0.6074999999999999,False,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,unpredictability,1.0,5.551115123125783e-17,5.551115123125783e-17,0.4000000000000001,0.4000000000000001,False,True,True,True
groq_llama-4-maverick-17b-128e-instruct,admiration,valence,0.04208628671050067,0.04000000000000003,1.1102230246251565e-16,0.78,0.8000000000000002,True,True,True,True
groq_llama-4-maverick-17b-128e-instruct,aggressiveness,activity,0.006491704658032309,0.03799671038392669,0.0,0.7825,0.8,True,True,True,True
